model_id,iso3,country_name,commodity,value,source_tier,source_basis,imputed,imputation_rule,notes
1,DEU,Germany,palm_oil,0.05,Proxy,Default low risk for non-tropical non-specialized exporter,Yes,Default minimum risk value,No direct palm oil deforestation-risk estimate used in v1.
1,DEU,Germany,soy,0.05,Proxy,Default low risk for non-major forest-risk soy exporter,Yes,Default minimum risk value,
1,DEU,Germany,timber,0.7,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.10.
1,DEU,Germany,paper,0.23,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.10.
2,USA,United States,palm_oil,0.05,Proxy,Default low risk,Yes,Default minimum risk value,
2,USA,United States,soy,0.15,Proxy,Major soy exporter but lower deforestation-risk than South American frontier exporters,Yes,Low-medium soy proxy,
2,USA,United States,timber,0.15,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.10.
2,USA,United States,paper,0.03,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.10.
3,CAN,Canada,palm_oil,0.05,Proxy,Default low risk,Yes,Default minimum risk value,
3,CAN,Canada,soy,0.05,Proxy,Default low risk,Yes,Default minimum risk value,
3,CAN,Canada,timber,0.01,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.20.
3,CAN,Canada,paper,0.0,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.15.
4,IDN,Indonesia,palm_oil,1.0,Proxy informed by known forest-risk patterns,Very high palm-oil deforestation-risk exporter,No,Assigned high-risk benchmark,Key high-risk palm oil exporter.
4,IDN,Indonesia,soy,0.05,Proxy,Default low risk,Yes,Default minimum risk value,
4,IDN,Indonesia,timber,0.09,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.80.
4,IDN,Indonesia,paper,0.01,FAOSTAT_FO,"FAOSTAT Forestry Production and Trade (domain FO), 2015-2022 average. Roundwood production / forest area (timber); paper production / forest area (paper). Min-max normalised.",No,Data-derived,Updated from v1 proxy on 2026-06-21. Old value: 0.40.
5,MYS,Malaysia,palm_oil,0.85,Proxy informed by known forest-risk patterns,High palm-oil deforestation-risk exporter,No,Assigned high-risk palm oil proxy,
5,MYS,Malaysia,soy,0.05,Proxy,Default low risk,Yes,Default minimum risk value,
