country,palm_oil,soy,timber,paper
DEU,0.05,0.05,0.7,0.23
USA,0.05,0.05,0.15,0.03
CAN,0.05,0.05,0.01,0.0
IDN,1.0,0.05,0.09,0.01
MYS,0.85,0.05,0.08,0.01
CHN,0.05,0.05,0.13,0.06
SWE,0.05,0.05,0.3,0.04
BRA,0.05,1.0,0.02,0.0
FIN,0.05,0.05,0.31,0.04
FRA,0.05,0.05,0.2,0.04
ESP,0.05,0.05,0.07,0.04
AUT,0.05,0.05,0.49,0.13
ITA,0.05,0.05,0.11,0.11
RUS,0.05,0.05,0.0,0.0
BEL,0.05,0.05,0.73,0.18
NLD,0.05,0.05,0.64,1.0
POL,0.05,0.05,0.43,0.05
GBR,0.05,0.05,0.37,0.14
ARG,0.05,0.75,0.01,0.0
CZE,0.05,0.05,1.0,0.04
LVA,0.05,0.05,0.48,0.0
JPN,0.05,0.05,0.1,0.1
TUR,0.05,0.05,0.1,0.1
CHE,0.05,0.05,0.36,0.08
NOR,0.05,0.05,0.1,0.0
THA,0.3,0.05,0.19,0.03
PRT,0.05,0.05,0.47,0.05
CHL,0.05,0.05,0.28,0.01
KOR,0.05,0.05,0.05,0.18
SVK,0.05,0.05,0.53,0.04
