iso3,DEU,USA,CAN,IDN,MYS,CHN,SWE,BRA,FIN,FRA,ESP,AUT,ITA,RUS,BEL,NLD,POL,GBR,ARG,CZE,LVA,JPN,TUR,CHE,NOR,THA,PRT,CHL,KOR,SVK
DEU,0.0,6710.34,6127.31,10784.49,9614.88,7357.58,810.81,9398.06,1106.17,876.37,1868.09,523.65,1183.26,1609.95,649.65,575.67,522.22,930.46,11911.86,279.52,844.81,8920.78,2038.3,751.46,838.42,8603.98,2312.09,9618.61,8127.84,552.41
USA,6710.34,0.0,734.08,16356.18,15337.92,11146.98,6637.16,6004.92,6931.16,6165.58,6088.74,7124.08,7217.03,7822.41,6216.95,6189.94,7181.81,5898.5,8394.34,6898.17,7074.59,10902.32,8725.64,6598.92,6232.7,14155.15,5737.65,3296.84,11165.13,7174.36
CAN,6127.31,734.08,0.0,15644.41,14607.86,10450.94,5993.95,6596.23,6270.82,5648.27,5689.49,6566.56,6728.35,7158.24,5673.71,5630.55,6579.66,5360.59,9066.58,6331.86,6434.4,10319.59,8160.37,6083.52,5597.55,13423.89,5386.69,4028.28,10512.05,6614.77
IDN,10784.49,16356.18,15644.41,0.0,1183.41,5217.15,10527.43,17140.89,10157.28,11581.36,12185.33,10552.69,10824.59,9307.33,11414.36,11360.11,10262.31,11713.97,15223.66,10705.23,10144.39,5787.19,9103.15,11220.08,10940.67,2323.76,12677.56,18775.42,5293.59,10497.76
MYS,9614.88,15337.92,14607.86,1183.41,0.0,4346.72,9344.64,17132.19,8973.94,10423.54,11071.37,9399.71,9708.37,8125.64,10249.31,10190.06,9092.74,10545.2,15959.34,9544.29,8963.65,5324.75,7988.04,10072.88,9757.58,1186.31,11569.38,18444.62,4612.76,9344.93
CHN,7357.58,11146.98,10450.94,5217.15,4346.72,0.0,6707.42,16569.83,6321.15,8216.0,9221.41,7459.46,8125.54,5792.85,7961.0,7821.26,6936.5,8140.08,19269.34,7455.18,6515.82,2099.8,6833.06,8074.21,7024.18,3296.1,9667.59,14102.11,953.74,7418.13
SWE,810.81,6637.16,5993.95,10527.43,9344.64,6707.42,0.0,9963.74,395.99,1543.36,2592.81,1241.06,1976.35,1227.12,1280.15,1125.15,810.33,1432.67,12563.56,1053.2,441.58,8172.91,2393.67,1543.56,417.26,8266.83,2989.64,9726.86,7432.0,1244.0
BRA,9398.06,6004.92,6596.23,17140.89,17132.19,16569.83,9963.74,0.0,10358.42,8522.05,7591.68,9400.84,8842.96,11006.6,8762.54,8884.38,9870.38,8545.41,2751.09,9351.88,10214.28,16907.25,10410.4,8737.17,9615.75,17130.71,7108.71,4062.22,16986.85,9449.19
FIN,1106.17,6931.16,6270.82,10157.28,8973.94,6321.15,395.99,10358.42,0.0,1908.56,2948.41,1439.17,2202.32,892.34,1648.0,1501.53,913.71,1821.02,12949.15,1301.76,361.1,7821.69,2317.26,1857.44,787.7,7886.4,3361.47,10063.45,7057.54,1427.77
FRA,876.37,6165.58,5648.27,11581.36,10423.54,8216.0,1543.36,8522.05,1908.56,0.0,1052.88,1033.45,1105.36,2486.27,263.65,430.08,1370.65,343.51,11053.41,881.79,1702.97,9715.5,2597.56,435.26,1341.59,9442.72,1454.09,8902.34,8965.77,1088.37
ESP,1868.09,6088.74,5689.49,12185.33,11071.37,9221.41,2592.81,7591.68,2948.41,1052.88,0.0,1809.47,1363.01,3440.23,1316.24,1481.52,2293.68,1263.41,10048.46,1772.43,2712.86,10765.59,3084.34,1152.24,2387.53,10180.99,502.9,8462.39,9995.45,1858.44
AUT,523.65,7124.08,6566.56,10552.69,9399.71,7459.46,1241.06,9400.84,1439.17,1033.45,1809.47,0.0,765.54,1669.56,914.61,936.25,558.41,1235.3,11813.79,252.57,1101.91,9131.88,1601.89,683.26,1351.27,8439.98,2299.13,9932.0,8274.64,54.99
ITA,1183.26,7217.03,6728.35,10824.59,9708.37,8125.54,1976.35,8842.96,2202.32,1105.36,1363.01,765.54,0.0,2376.57,1173.28,1297.32,1318.97,1433.93,11153.96,923.28,1867.44,9859.17,1721.81,689.32,2007.29,8829.43,1862.1,9789.5,8967.83,784.81
RUS,1609.95,7822.41,7158.24,9307.33,8125.64,5792.85,1227.12,11006.6,892.34,2486.27,3440.23,1669.56,2376.57,0.0,2253.2,2147.46,1146.77,2500.6,13479.06,1667.86,841.73,7482.79,1794.67,2288.23,1644.23,7063.97,3906.78,10949.63,6605.75,1630.7
BEL,649.65,6216.95,5673.71,11414.36,10249.31,7961.0,1280.15,8762.54,1648.0,263.65,1316.24,914.61,1173.28,2253.2,0.0,173.78,1163.91,320.73,11308.54,717.12,1454.03,9451.91,2513.47,489.02,1084.73,9249.15,1713.47,9028.94,8705.53,967.36
NLD,575.67,6189.94,5630.55,11360.11,10190.06,7821.26,1125.15,8884.38,1501.53,430.08,1481.52,936.25,1297.32,2147.46,173.78,0.0,1097.81,357.32,11448.69,709.74,1330.63,9291.62,2535.94,630.54,912.49,9174.14,1864.51,9051.6,8556.33,985.3
POL,522.22,7181.81,6579.66,10262.31,9092.74,6936.5,810.33,9870.38,913.71,1370.65,2293.68,558.41,1318.97,1146.77,1163.91,1097.81,0.0,1452.48,12334.6,521.28,559.47,8579.32,1638.76,1141.53,1065.33,8085.32,2763.89,10130.78,7736.84,534.21
GBR,930.46,5898.5,5360.59,11713.97,10545.2,8140.08,1432.67,8545.41,1821.02,343.51,1263.41,1235.3,1433.93,2500.6,320.73,357.32,1452.48,0.0,11130.91,1032.87,1676.37,9561.87,2833.85,747.55,1153.23,9531.43,1586.38,8713.26,8857.36,1287.95
ARG,11911.86,8394.34,9066.58,15223.66,15959.34,19269.34,12563.56,2751.09,12949.15,11053.41,10048.46,11813.79,11153.96,13479.06,11308.54,11448.69,12334.6,11130.91,0.0,11815.52,12753.53,18358.67,12481.96,11196.22,12249.98,16875.94,9601.75,5621.08,19427.86,11855.59
CZE,279.52,6898.17,6331.86,10705.23,9544.29,7455.18,1053.2,9351.88,1301.76,881.79,1772.43,252.57,923.28,1667.86,717.12,709.74,521.28,1032.87,11815.52,0.0,994.12,9074.28,1829.49,620.38,1117.11,8561.31,2243.93,9745.63,8248.87,290.82
LVA,844.81,7074.59,6434.4,10144.39,8963.65,6515.82,441.58,10214.28,361.1,1702.97,2712.86,1101.91,1867.44,841.73,1454.03,1330.63,559.47,1676.37,12753.53,994.12,0.0,8085.54,1996.65,1585.65,843.11,7905.69,3151.83,10144.58,7283.09,1085.3
JPN,8920.78,10902.32,10319.59,5787.19,5324.75,2099.8,8172.91,16907.25,7821.69,9715.5,10765.59,9131.88,9859.17,7482.79,9451.91,9291.62,8579.32,9561.87,18358.67,9074.28,8085.54,0.0,8769.08,9669.75,8408.64,4609.26,11147.36,13196.79,1158.71,9098.88
TUR,2038.3,8725.64,8160.37,9103.15,7988.04,6833.06,2393.67,10410.4,2317.26,2597.56,3084.34,1601.89,1721.81,1794.67,2513.47,2535.94,1638.76,2833.85,12481.96,1829.49,1996.65,8769.08,0.0,2183.01,2701.3,7133.41,3581.35,11479.18,7746.25,1551.31
CHE,751.46,6598.92,6083.52,11220.08,10072.88,8074.21,1543.56,8737.17,1857.44,435.26,1152.24,683.26,689.32,2288.23,489.02,630.54,1141.53,747.55,11196.22,620.38,1585.65,9669.75,2183.01,0.0,1457.56,9121.98,1628.6,9301.57,8861.97,736.56
