recovery_horizon,scenario_id,scenario_name,time,GroupCount,mean_delta_risk,std_delta_risk,mean_volume_effect,std_volume_effect,mean_composition_effect,std_composition_effect,mean_volume_share_of_delta_risk,std_volume_share_of_delta_risk,mean_composition_share_of_delta_risk,std_composition_share_of_delta_risk
3,coordinated,Coordinated,0,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,coordinated,Coordinated,1,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,coordinated,Coordinated,2,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,coordinated,Coordinated,3,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,coordinated,Coordinated,4,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,coordinated,Coordinated,5,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,coordinated,Coordinated,6,100,-20.6394233848709,5.52408384021892,-20.9896927836224,4.10093093114909,0.350269398751477,4.23711726997634,1.05925873430644,0.235164356789915,-0.059258734306437,0.235164356789915
3,coordinated,Coordinated,7,100,-50.3563756080251,13.6444757501016,-51.5747338455614,10.3400990964757,1.21835823753628,10.5301990335258,1.07054031509784,0.240596020572966,-0.0705403150978404,0.240596020572966
3,coordinated,Coordinated,8,100,-67.4498851568042,16.307532859941,-67.9174397334436,12.3615466031535,0.467554576639393,12.1920848105699,1.04526276516011,0.229128683073438,-0.0452627651601111,0.229128683073438
3,coordinated,Coordinated,9,100,-75.6872686012308,17.3065920436558,-76.1353792504999,13.2319058725735,0.448110649269097,13.2523089626317,1.03948191778472,0.209192646071786,-0.039481917784719,0.209192646071786
3,coordinated,Coordinated,10,100,-80.6180441229571,16.832149960265,-81.7542789441876,13.394913089603,1.13623482123051,13.4945719459348,1.04148775973715,0.193227555496066,-0.0414877597371536,0.193227555496066
3,coordinated,Coordinated,11,100,-85.9396652544498,17.0133994163501,-87.2979938183198,13.7872352950592,1.35832856386994,13.4149730114032,1.03982125346261,0.180932700414421,-0.0398212534626083,0.180932700414421
3,coordinated,Coordinated,12,100,-90.8256091109208,17.3863525644353,-92.1655439874469,14.4997181050008,1.33993487652616,13.3835799118949,1.03648039919383,0.17337993487381,-0.0364803991938277,0.17337993487381
3,coordinated,Coordinated,13,100,-94.9699339422112,18.3954131654354,-96.318158085077,15.4153428357271,1.34822414286581,13.8659022316609,1.03643591087772,0.174867892281147,-0.036435910877717,0.174867892281147
3,coordinated,Coordinated,14,100,-97.4167246694852,19.0027748666128,-99.038131514013,16.2472490517047,1.62140684452788,14.0046232797587,1.03818190328663,0.17167069689896,-0.0381819032866327,0.17167069689896
3,coordinated,Coordinated,15,100,-99.4334802337585,19.496894468234,-101.219906567306,16.8636040280537,1.78642633354767,14.23995369537,1.03876884434971,0.168116239081863,-0.0387688443497076,0.168116239081863
