replication,seed,mechanismID,mechanismLabel,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
1,1,M0_minimal,M0 Minimal adaptation,baseline,Baseline,104.071339749782,452.279774021325,3052.97447700057,0,2477,1318,1159
1,1,M1_choice,M1 + Softmax choice,baseline,Baseline,99.8248756044935,452.279774021325,3052.97447700057,0,3455,1271,2184
1,1,M2_frictions,M2 + Switching costs,baseline,Baseline,108.122577139926,452.279774021325,3052.97447700057,0,2264,1056,1208
1,1,M3_recovery,M3 + Recovery,baseline,Baseline,128.471467322935,347.561400246829,2344.74238495496,106,2649,1144,1505
1,1,M4_regulation,M4 + Regulation,baseline,Baseline,128.471467322935,347.561400246829,2344.74238495496,106,2649,1144,1505
1,1,M4_regulation,M4 + Regulation,coordinated,Coordinated,114.284262123457,242.899123623852,1867.31446223304,192,3917,1635,2282
1,1,M5_timing,M5 + Policy timing,baseline,Baseline,128.471467322935,347.561400246829,2344.74238495496,106,2649,1144,1505
1,1,M5_timing,M5 + Policy timing,early_mover,Early Mover,119.201450349082,243.327853509376,1802.08805291328,210,4141,1670,2471
1,1,M5_timing,M5 + Policy timing,sequential,Sequential,114.965090592667,239.544305724848,1789.50687815374,205,4045,1659,2386
1,1,M5_timing,M5 + Policy timing,coordinated,Coordinated,114.284262123457,242.899123623852,1867.31446223304,192,3917,1635,2282
1,1,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,115.840579827431,233.815861461161,1777.52528880757,215,4168,1679,2489
2,2,M0_minimal,M0 Minimal adaptation,baseline,Baseline,102.671036638904,448.169534685216,2974.28944030821,0,2817,1497,1320
2,2,M1_choice,M1 + Softmax choice,baseline,Baseline,95.0105286919377,448.169534685216,2974.28944030821,0,3971,1236,2735
2,2,M2_frictions,M2 + Switching costs,baseline,Baseline,105.892043089313,448.169534685216,2974.28944030821,0,2416,1191,1225
2,2,M3_recovery,M3 + Recovery,baseline,Baseline,128.505671243792,340.75141935332,2288.56803367606,120,2889,1184,1705
2,2,M4_regulation,M4 + Regulation,baseline,Baseline,128.505671243792,340.75141935332,2288.56803367606,120,2889,1184,1705
2,2,M4_regulation,M4 + Regulation,coordinated,Coordinated,119.235200809046,245.074560560967,1594.88160984175,279,5024,1801,3223
2,2,M5_timing,M5 + Policy timing,baseline,Baseline,128.505671243792,340.75141935332,2288.56803367606,120,2889,1184,1705
2,2,M5_timing,M5 + Policy timing,early_mover,Early Mover,123.34969312917,249.9575182604,1606.19531381601,261,4877,1789,3088
2,2,M5_timing,M5 + Policy timing,sequential,Sequential,120.63207743337,247.613274387203,1549.06505024693,274,4978,1817,3161
2,2,M5_timing,M5 + Policy timing,coordinated,Coordinated,119.235200809046,245.074560560967,1594.88160984175,279,5024,1801,3223
2,2,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,123.489322000039,238.591640618031,1511.53743864395,269,5001,1827,3174
3,3,M0_minimal,M0 Minimal adaptation,baseline,Baseline,106.930509915088,450.84536915919,3046.72043313889,0,2515,1246,1269
3,3,M1_choice,M1 + Softmax choice,baseline,Baseline,102.325942336632,450.84536915919,3046.72043313889,0,3322,1231,2091
3,3,M2_frictions,M2 + Switching costs,baseline,Baseline,109.179734978737,450.84536915919,3046.72043313889,0,2049,967,1082
3,3,M3_recovery,M3 + Recovery,baseline,Baseline,127.053051251761,348.896412923982,2467.09032458123,84,2240,994,1246
3,3,M4_regulation,M4 + Regulation,baseline,Baseline,127.053051251761,348.896412923982,2467.09032458123,84,2240,994,1246
3,3,M4_regulation,M4 + Regulation,coordinated,Coordinated,116.380700545872,260.404158092553,1873.75504481288,224,3872,1448,2424
3,3,M5_timing,M5 + Policy timing,baseline,Baseline,127.053051251761,348.896412923982,2467.09032458123,84,2240,994,1246
3,3,M5_timing,M5 + Policy timing,early_mover,Early Mover,115.091264302863,265.604396682396,1952.2858921509,204,3763,1392,2371
3,3,M5_timing,M5 + Policy timing,sequential,Sequential,114.804654644933,259.0751440614,1860.97635011817,192,3793,1344,2449
3,3,M5_timing,M5 + Policy timing,coordinated,Coordinated,116.380700545872,260.404158092553,1873.75504481288,224,3872,1448,2424
3,3,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,112.84158319484,269.462167995513,1901.55488185431,207,3802,1385,2417
4,4,M0_minimal,M0 Minimal adaptation,baseline,Baseline,99.3281128105422,429.517087622842,2991.72998714242,0,3144,1404,1740
4,4,M1_choice,M1 + Softmax choice,baseline,Baseline,90.0366106898437,429.517087622842,2991.72998714242,0,3836,1237,2599
4,4,M2_frictions,M2 + Switching costs,baseline,Baseline,100.862239739161,429.517087622842,2991.72998714242,0,2545,1094,1451
4,4,M3_recovery,M3 + Recovery,baseline,Baseline,126.120484140994,303.599724718327,2287.91764447672,119,2854,1143,1711
4,4,M4_regulation,M4 + Regulation,baseline,Baseline,126.120484140994,303.599724718327,2287.91764447672,119,2854,1143,1711
