replication,seed,deltaFinalRisk,deltaFinalFitness,deltaFinalTrade,deltaTotalSwitches
1,1,-104.662276622977,-14.1872051994781,-477.427922721922,1268
2,2,-95.6768587923528,-9.27047043474522,-693.686423834307,2135
3,3,-88.4922548314283,-10.6723507058884,-593.335279768354,1632
4,4,-89.4509983710812,-9.08725776016709,-612.680903934442,1647
5,5,-95.4031753439266,-10.005182693378,-614.390730770093,1555
6,6,-72.3475083414783,-10.5856230431845,-597.691892548191,1930
7,7,-74.0622167121532,-4.88596480509622,-677.289462133623,2152
8,8,-105.756667954379,-6.70831690403841,-756.602037302672,2141
9,9,-83.103115439401,-9.82656087463552,-634.087058317889,1811
10,10,-84.6764503798273,-10.3151716029157,-580.517035992158,1682
11,11,-91.0842657344511,-9.58598067696354,-575.046816086084,1925
12,12,-96.7050764095196,-11.0170645055877,-586.449955276273,1917
13,13,-112.595467473921,-6.99230551629215,-676.165929769289,2040
14,14,-84.8360311957554,-9.63695239487927,-580.125131236097,1915
15,15,-103.135090781354,-4.41031382484474,-696.852386935578,2174
16,16,-75.0523386492245,-10.1065552710955,-599.952677840528,1526
17,17,-125.113959914887,-9.61024638062784,-689.714361565241,2002
18,18,-79.5769346685371,-12.2388294889369,-588.608824831986,1687
19,19,-107.980220589796,-9.15730708929084,-537.94615011946,1678
20,20,-63.212278133673,-15.5682804660163,-433.143556371465,1326
21,21,-117.842134889197,-1.64810610441032,-643.52436544241,2220
22,22,-116.297552399313,-3.27221194546362,-793.610996856388,2442
23,23,-85.4738814994631,-5.7115804075919,-706.941753991134,2161
24,24,-90.7284108166322,-11.8014310825671,-589.519110741937,1546
25,25,-59.7525203427187,-6.62717607703934,-562.469892256589,1508
26,26,-119.234586276597,-4.31288363210683,-738.315628984708,1990
27,27,-92.3620877318907,-10.7567539792548,-634.704257418507,1867
28,28,-101.636379552333,-10.0460739413212,-675.866977847042,1999
29,29,-85.8304259372078,-5.77530591305421,-665.141965350243,1964
30,30,-83.1400421213918,-11.3621389586348,-535.699399609682,1694
