replication,seed,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
1,1,baseline,Baseline,0,0,0,0,0
1,1,early_mover,Early Mover,-1.09699026825614,-112.048325973861,-719.329318235488,146,1935
1,1,sequential,Sequential,-0.260087589658497,-144.673173509599,-870.298677871248,168,2081
1,1,coordinated,Coordinated,-6.1391683764066,-100.167885210611,-721.100648231348,130,1954
1,1,delayed_coordination,Delayed Coordination,-0.8371487606627,-136.2735616973,-836.110846116158,166,2137
2,2,baseline,Baseline,0,0,0,0,0
2,2,early_mover,Early Mover,2.07603876290024,-135.358907594206,-866.283837011395,178,2535
2,2,sequential,Sequential,-0.728666254355531,-144.797995689762,-924.596999997069,197,2569
2,2,coordinated,Coordinated,-0.954500155365736,-141.789682583642,-917.549832193594,171,2523
2,2,delayed_coordination,Delayed Coordination,-1.0405427392286,-131.51598594523,-902.267352088614,182,2586
3,3,baseline,Baseline,0,0,0,0,0
3,3,early_mover,Early Mover,-2.42123909443592,-116.788751125301,-757.173500848621,152,2128
3,3,sequential,Sequential,-2.98184608797115,-135.731714224493,-836.352667957025,173,2190
3,3,coordinated,Coordinated,-6.26873259941365,-120.484211114384,-817.111885995007,161,2232
3,3,delayed_coordination,Delayed Coordination,-0.423941328923007,-136.122465412957,-905.165527623001,185,2334
4,4,baseline,Baseline,0,0,0,0,0
4,4,early_mover,Early Mover,2.63385909109103,-135.666466654058,-929.776815591262,169,2480
4,4,sequential,Sequential,-0.9493113184419,-128.519497967483,-949.999361407529,181,2430
4,4,coordinated,Coordinated,-5.00623133863851,-88.6655831552032,-820.401209984947,154,2180
4,4,delayed_coordination,Delayed Coordination,-0.00380193940750928,-146.292995444195,-985.271903969418,186,2629
5,5,baseline,Baseline,0,0,0,0,0
5,5,early_mover,Early Mover,-4.10385304748682,-99.7578025010694,-649.800695423177,130,1635
5,5,sequential,Sequential,-10.4405276561176,-94.6966999643323,-599.536005089684,121,1467
5,5,coordinated,Coordinated,-12.2945541690882,-69.9100421770613,-534.595535107023,77,1266
5,5,delayed_coordination,Delayed Coordination,-9.16667575395756,-80.9221628461918,-592.332096954325,106,1439
6,6,baseline,Baseline,0,0,0,0,0
6,6,early_mover,Early Mover,5.601712822962,-110.871191779456,-855.00622909541,178,2403
6,6,sequential,Sequential,3.59790414320837,-117.580496441727,-875.887044179789,171,2392
6,6,coordinated,Coordinated,0.197433801683601,-108.614538480308,-848.552651573345,148,2279
