replication,seed,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
1,1,baseline,Baseline,123.409902094528,388.905688852563,2626.28447587375,77,1531,594,937
1,1,early_mover,Early Mover,122.312911826272,276.857362878702,1906.95515763826,223,3466,1063,2403
1,1,sequential,Sequential,123.149814504869,244.232515342964,1755.9857980025,245,3612,1112,2500
1,1,coordinated,Coordinated,117.270733718121,288.737803641952,1905.1838276424,207,3485,1102,2383
1,1,delayed_coordination,Delayed Coordination,122.572753333865,252.632127155263,1790.17362975759,243,3668,1117,2551
2,2,baseline,Baseline,122.62599675657,393.21231572829,2604.53433086301,83,1741,638,1103
2,2,early_mover,Early Mover,124.70203551947,257.853408134083,1738.25049385161,261,4276,1226,3050
2,2,sequential,Sequential,121.897330502215,248.414320038528,1679.93733086594,280,4310,1297,3013
2,2,coordinated,Coordinated,121.671496601204,251.422633144648,1686.98449866941,254,4264,1174,3090
2,2,delayed_coordination,Delayed Coordination,121.585454017342,261.69632978306,1702.26697877439,265,4327,1270,3057
3,3,baseline,Baseline,127.376172453757,413.161971118621,2590.35879427508,82,1645,630,1015
3,3,early_mover,Early Mover,124.954933359321,296.37321999332,1833.18529342646,234,3773,1205,2568
3,3,sequential,Sequential,124.394326365786,277.430256894128,1754.00612631805,255,3835,1264,2571
3,3,coordinated,Coordinated,121.107439854344,292.677760004236,1773.24690828007,243,3877,1197,2680
3,3,delayed_coordination,Delayed Coordination,126.952231124834,277.039505705663,1685.19326665208,267,3979,1247,2732
4,4,baseline,Baseline,122.444222007046,388.222152444097,2567.15396998536,99,1891,525,1366
4,4,early_mover,Early Mover,125.078081098137,252.555685790038,1637.3771543941,268,4371,1062,3309
4,4,sequential,Sequential,121.494910688604,259.702654476614,1617.15460857784,280,4321,1131,3190
4,4,coordinated,Coordinated,117.437990668408,299.556569288894,1746.75276000042,253,4071,1131,2940
4,4,delayed_coordination,Delayed Coordination,122.440420067639,241.929156999902,1581.88206601595,285,4520,1160,3360
5,5,baseline,Baseline,122.999682145179,375.753072594,2500.85760980198,97,2156,480,1676
5,5,early_mover,Early Mover,118.895829097692,275.995270092931,1851.0569143788,227,3791,1078,2713
5,5,sequential,Sequential,112.559154489061,281.056372629668,1901.3216047123,218,3623,1114,2509
5,5,coordinated,Coordinated,110.70512797609,305.843030416939,1966.26207469496,174,3422,1063,2359
5,5,delayed_coordination,Delayed Coordination,113.833006391221,294.830909747808,1908.52551284766,203,3595,1094,2501
6,6,baseline,Baseline,121.975141289964,365.804511914658,2527.51690733263,96,1959,588,1371
6,6,early_mover,Early Mover,127.576854112926,254.933320135202,1672.51067823722,274,4362,1062,3300
6,6,sequential,Sequential,125.573045433173,248.224015472931,1651.62986315284,267,4351,1192,3159
6,6,coordinated,Coordinated,122.172575091648,257.18997343435,1678.96425575928,244,4238,1246,2992
6,6,delayed_coordination,Delayed Coordination,125.235227105998,247.560838443848,1662.12651273848,264,4293,1186,3107
7,7,baseline,Baseline,126.285880825954,335.424054168838,2353.91426159706,123,2547,619,1928
7,7,early_mover,Early Mover,119.142988874797,258.462191299714,1726.10463400483,226,4078,1077,3001
7,7,sequential,Sequential,117.81399162947,252.208906749522,1678.80086512606,245,4218,1112,3106
7,7,coordinated,Coordinated,118.805611715615,238.468990244378,1639.1037261194,257,4416,1135,3281
7,7,delayed_coordination,Delayed Coordination,114.575273335396,259.938565703739,1719.0633709251,229,4101,1065,3036
8,8,baseline,Baseline,124.411283169884,344.552030241259,2373.25748789315,115,2261,551,1710
8,8,early_mover,Early Mover,121.304060658927,231.665043898074,1622.71959232611,271,4371,1149,3222
8,8,sequential,Sequential,115.499857908592,234.378745888268,1653.78500417996,261,4294,1171,3123
8,8,coordinated,Coordinated,115.767971592379,237.377304898262,1697.90192502208,248,4227,1173,3054
8,8,delayed_coordination,Delayed Coordination,117.883489259908,229.822180146449,1617.73904854042,264,4358,1172,3186
9,9,baseline,Baseline,126.134336117382,382.651208075247,2533.70637661774,102,2140,723,1417
9,9,early_mover,Early Mover,120.957762088491,262.874877904633,1756.3419483951,267,4176,1204,2972
9,9,sequential,Sequential,116.781642670766,260.378744118661,1795.72899660208,264,4113,1321,2792
9,9,coordinated,Coordinated,119.173098364895,268.676482254043,1741.29442952014,244,4152,1265,2887
9,9,delayed_coordination,Delayed Coordination,118.844664856434,259.289461261696,1708.31321384727,259,4244,1257,2987
10,10,baseline,Baseline,121.12507650568,377.312450933345,2611.49638986085,87,1773,548,1225
10,10,early_mover,Early Mover,122.017903050189,269.116308479342,1830.55598704268,240,4265,977,3288
10,10,sequential,Sequential,121.872879253166,256.047833224991,1695.83250306106,269,4478,1031,3447
10,10,coordinated,Coordinated,121.812759230717,261.490199460016,1722.62174709098,273,4528,1120,3408
10,10,delayed_coordination,Delayed Coordination,122.184603967106,258.900664659112,1695.17254554805,274,4486,1092,3394
11,11,baseline,Baseline,122.538837882093,365.505860819239,2526.48078579143,107,2006,467,1539
11,11,early_mover,Early Mover,118.958112789984,271.051925374149,1899.99982054976,239,3863,906,2957
11,11,sequential,Sequential,120.06595640572,263.090725743482,1751.64306621395,256,4126,985,3141
11,11,coordinated,Coordinated,116.304090557919,263.573258379985,1824.60917131536,255,3996,953,3043
11,11,delayed_coordination,Delayed Coordination,119.239300542657,258.06742376554,1785.40466901081,249,3947,924,3023
12,12,baseline,Baseline,124.307217503296,331.763044993455,2367.7325189163,133,2709,545,2164
12,12,early_mover,Early Mover,117.251908989849,235.844539155758,1697.78157869462,253,4609,1082,3527
12,12,sequential,Sequential,117.814575683454,226.244614942255,1600.74997558391,264,4646,1135,3511
12,12,coordinated,Coordinated,119.328826163881,233.360795434952,1602.78675655517,292,4730,1154,3576
12,12,delayed_coordination,Delayed Coordination,118.900851897125,225.895532715774,1585.28815437803,268,4674,1119,3555
13,13,baseline,Baseline,124.243023609303,377.687743761073,2454.8957992683,119,2364,514,1850
13,13,early_mover,Early Mover,120.847734091098,249.186874198747,1667.53457003904,280,4565,1212,3353
13,13,sequential,Sequential,120.20140661086,239.166262779787,1569.60241921477,309,4669,1318,3351
13,13,coordinated,Coordinated,116.783487151579,252.421879739488,1625.92295867292,261,4315,1281,3034
13,13,delayed_coordination,Delayed Coordination,119.737545883678,242.049734340509,1606.19914645275,283,4580,1297,3283
14,14,baseline,Baseline,123.875449154238,359.58021065883,2555.11600260768,87,1738,486,1252
14,14,early_mover,Early Mover,120.724760998912,255.727853800537,1805.59777208237,219,3732,1138,2594
14,14,sequential,Sequential,117.559176377306,254.048609814001,1777.74349913543,202,3657,1129,2528
14,14,coordinated,Coordinated,121.595032099686,239.966326459186,1678.73349408287,248,3869,1168,2701
14,14,delayed_coordination,Delayed Coordination,114.565827971312,282.036754452373,1855.20618800299,191,3542,1097,2445
15,15,baseline,Baseline,123.695300625095,369.101920317739,2565.16332384631,99,1896,513,1383
15,15,early_mover,Early Mover,120.776963739994,253.012198389068,1868.90036909945,223,3856,1058,2798
15,15,sequential,Sequential,119.394404160417,244.167126160611,1793.08643045997,251,3973,1127,2846
15,15,coordinated,Coordinated,120.671890069632,235.089836208596,1727.56532346342,238,4100,1117,2983
15,15,delayed_coordination,Delayed Coordination,119.82562739298,233.862223462918,1780.43505083674,238,3952,1135,2817
16,16,baseline,Baseline,124.373982222118,349.242642682057,2409.87022510275,117,2295,548,1747
16,16,early_mover,Early Mover,120.612719385895,265.159154081374,1862.64893338528,210,3645,1190,2455
16,16,sequential,Sequential,120.083274614578,245.303050847697,1802.55775446332,222,3774,1227,2547
16,16,coordinated,Coordinated,115.207392595186,250.575065213304,1854.92754518827,234,3742,1154,2588
16,16,delayed_coordination,Delayed Coordination,121.123040482823,244.903789352344,1787.51282176038,232,3788,1224,2564
17,17,baseline,Baseline,121.114785143167,383.40364612281,2576.56413544104,100,2086,398,1688
17,17,early_mover,Early Mover,120.640135458793,267.47349203927,1791.88962290524,248,4497,1077,3420
17,17,sequential,Sequential,118.943168618327,259.494317003325,1698.52372284901,269,4543,1191,3352
17,17,coordinated,Coordinated,116.560892408434,251.779193379,1763.27997962853,256,4362,1112,3250
17,17,delayed_coordination,Delayed Coordination,119.909318794966,244.594672163343,1690.68649840038,270,4541,1122,3419
18,18,baseline,Baseline,123.383552995967,347.590988160746,2418.31657658367,106,2137,591,1546
18,18,early_mover,Early Mover,122.694925819787,251.04153264618,1625.95985753568,274,4622,1179,3443
18,18,sequential,Sequential,124.790067988986,238.408107472954,1548.10305498924,287,4786,1276,3510
18,18,coordinated,Coordinated,123.888137202173,239.713276628113,1591.67341805511,291,4710,1227,3483
18,18,delayed_coordination,Delayed Coordination,126.092267653718,232.6263173716,1567.24390096756,302,4771,1202,3569
19,19,baseline,Baseline,123.762129921536,352.624674775641,2498.6291195112,102,2007,555,1452
19,19,early_mover,Early Mover,117.849598980091,268.42598095807,1877.79458047444,207,3637,1036,2601
19,19,sequential,Sequential,117.480791502563,262.842568317618,1810.66281029064,245,3803,1116,2687
19,19,coordinated,Coordinated,116.986586807054,248.364990738939,1805.44186786609,225,3919,1089,2830
19,19,delayed_coordination,Delayed Coordination,115.099228467207,268.975833243601,1881.61942944642,213,3695,1087,2608
20,20,baseline,Baseline,124.905690147808,340.092483468099,2417.11303483285,125,2322,558,1764
20,20,early_mover,Early Mover,128.024132176978,239.588289406905,1634.8416520532,276,4550,1004,3546
20,20,sequential,Sequential,123.002720365693,239.811331460789,1627.52536763852,260,4489,1027,3462
