replication,seed,beta,scenario_id,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_total_switches_vs_baseline
1,1,2,baseline,0,0,0,0
1,1,2,early_mover,-0.788649062443014,-69.8039395143146,-592.096806961599,1757
1,1,2,sequential,-0.104990747823379,-111.76872889989,-804.218480389693,2031
1,1,2,coordinated,-1.36050059141623,-90.5684864561042,-743.505451941092,1883
1,1,2,delayed_coordination,3.74844314981887,-116.918362013051,-849.27042756846,2194
1,1,4,baseline,0,0,0,0
1,1,4,early_mover,-1.09699026825614,-112.048325973861,-719.329318235488,1935
1,1,4,sequential,-0.260087589658497,-144.673173509599,-870.298677871248,2081
1,1,4,coordinated,-6.1391683764066,-100.167885210611,-721.100648231348,1954
1,1,4,delayed_coordination,-0.8371487606627,-136.2735616973,-836.110846116158,2137
1,1,8,baseline,0,0,0,0
1,1,8,early_mover,-9.8518852734245,-49.0157670703369,-482.928412533164,1397
1,1,8,sequential,-14.1530991225751,-59.27318686619,-577.315760984828,1500
1,1,8,coordinated,-12.0180866044548,-89.4490119253701,-665.074943694592,1713
1,1,8,delayed_coordination,-10.0342780613167,-71.7435567991678,-657.984352990412,1621
2,2,2,baseline,0,0,0,0
2,2,2,early_mover,3.21135024365768,-133.990029890477,-907.570425940214,2808
2,2,2,sequential,2.83801024115043,-152.024728216139,-991.677322686251,2913
2,2,2,coordinated,0.04911207683854,-157.456434940929,-959.036610878983,2898
2,2,2,delayed_coordination,1.75545946466217,-149.357765514869,-969.453797853871,2891
2,2,4,baseline,0,0,0,0
2,2,4,early_mover,2.07603876290024,-135.358907594206,-866.283837011395,2535
2,2,4,sequential,-0.728666254355531,-144.797995689762,-924.596999997069,2569
2,2,4,coordinated,-0.954500155365736,-141.789682583642,-917.549832193594,2523
2,2,4,delayed_coordination,-1.0405427392286,-131.51598594523,-902.267352088614,2586
2,2,8,baseline,0,0,0,0
2,2,8,early_mover,-4.71083638338263,-123.826677079202,-797.333035106035,2083
2,2,8,sequential,-9.70904883900974,-101.686449021302,-761.886319452674,1967
2,2,8,coordinated,-9.83997358736538,-109.626137139235,-738.708549118351,1960
2,2,8,delayed_coordination,-9.59032338851972,-107.609209245351,-768.21614085124,2038
3,3,2,baseline,0,0,0,0
3,3,2,early_mover,3.67362562197584,-138.431931740305,-889.475384931111,2518
3,3,2,sequential,1.25520162917761,-141.806620428348,-903.361519179118,2468
3,3,2,coordinated,2.20396918540973,-117.331604435773,-911.755810805381,2633
3,3,2,delayed_coordination,3.29530818058376,-137.215812084379,-962.687570554928,2407
3,3,4,baseline,0,0,0,0
3,3,4,early_mover,-2.42123909443592,-116.788751125301,-757.173500848621,2128
3,3,4,sequential,-2.98184608797115,-135.731714224493,-836.352667957025,2190
3,3,4,coordinated,-6.26873259941365,-120.484211114384,-817.111885995007,2232
3,3,4,delayed_coordination,-0.423941328923007,-136.122465412957,-905.165527623001,2334
3,3,8,baseline,0,0,0,0
3,3,8,early_mover,-7.10792295992968,-107.340893339589,-732.630900181195,2003
3,3,8,sequential,-8.94185911632434,-120.678864487588,-773.650066377202,2004
3,3,8,coordinated,-9.3126134469851,-122.015892366697,-787.084441137748,2177
3,3,8,delayed_coordination,-8.67130116707089,-122.932232924991,-778.894726713821,1996
4,4,2,baseline,0,0,0,0
4,4,2,early_mover,2.92508441669588,-131.23553637035,-891.067382480589,2721
4,4,2,sequential,3.14982872981135,-140.29560489824,-983.986959293368,2837
4,4,2,coordinated,1.10607614099206,-100.876234471134,-879.071242537257,2414
4,4,2,delayed_coordination,3.9306964226934,-143.245730327035,-1018.91584535172,2854
4,4,4,baseline,0,0,0,0
4,4,4,early_mover,2.63385909109103,-135.666466654058,-929.776815591262,2480
4,4,4,sequential,-0.9493113184419,-128.519497967483,-949.999361407529,2430
4,4,4,coordinated,-5.00623133863851,-88.6655831552032,-820.401209984947,2180
4,4,4,delayed_coordination,-0.00380193940750928,-146.292995444195,-985.271903969418,2629
4,4,8,baseline,0,0,0,0
4,4,8,early_mover,-6.28953968656359,-94.7281832033354,-752.746130610182,2000
4,4,8,sequential,-9.38400138118786,-115.77020704496,-822.749688662185,2025
4,4,8,coordinated,-11.5004182162598,-99.7620517209654,-752.121643744998,1752
4,4,8,delayed_coordination,-10.9644357941522,-101.067437437076,-784.515672208208,1936
5,5,2,baseline,0,0,0,0
5,5,2,early_mover,8.10710264265897,-123.873567632915,-821.694253056312,2488
5,5,2,sequential,5.95390190333423,-132.242180179154,-853.603228693582,2345
5,5,2,coordinated,4.50831650884267,-110.298036871653,-789.103986427477,2031
5,5,2,delayed_coordination,5.64080402559846,-130.878111084695,-855.967319653224,2387
5,5,4,baseline,0,0,0,0
5,5,4,early_mover,-4.10385304748682,-99.7578025010694,-649.800695423177,1635
5,5,4,sequential,-10.4405276561176,-94.6966999643323,-599.536005089684,1467
5,5,4,coordinated,-12.2945541690882,-69.9100421770613,-534.595535107023,1266
5,5,4,delayed_coordination,-9.16667575395756,-80.9221628461918,-592.332096954325,1439
5,5,8,baseline,0,0,0,0
5,5,8,early_mover,-10.1507521462799,-108.847620014159,-599.622828016487,1610
5,5,8,sequential,-12.5335769570722,-104.823688731729,-642.85538357565,1550
5,5,8,coordinated,-12.1324243847909,-72.2495035790724,-574.397798020612,1538
5,5,8,delayed_coordination,-14.7640613406005,-97.3989092865252,-595.888640971094,1564
6,6,2,baseline,0,0,0,0
6,6,2,early_mover,11.1773028145981,-117.389399817105,-911.936231968564,2600
6,6,2,sequential,7.37303721716685,-121.991070327035,-924.032061321005,2512
6,6,2,coordinated,3.88451570636697,-130.044034318023,-820.192409999214,1989
6,6,2,delayed_coordination,8.03215658223161,-128.456229934221,-940.456237357203,2570
6,6,4,baseline,0,0,0,0
6,6,4,early_mover,5.601712822962,-110.871191779456,-855.00622909541,2403
6,6,4,sequential,3.59790414320837,-117.580496441727,-875.887044179789,2392
6,6,4,coordinated,0.197433801683601,-108.614538480308,-848.552651573345,2279
6,6,4,delayed_coordination,3.26008581603323,-118.243673470811,-865.390394594147,2334
6,6,8,baseline,0,0,0,0
6,6,8,early_mover,-0.398023346664885,-105.134659102358,-752.108299364984,2010
6,6,8,sequential,-6.43769269985124,-108.875862832365,-749.418122496526,1952
6,6,8,coordinated,-14.4027430423576,-82.5502539262267,-533.48429650293,1395
6,6,8,delayed_coordination,-8.17327857862085,-94.1321752031164,-708.566971001043,1908
7,7,2,baseline,0,0,0,0
7,7,2,early_mover,8.45921880822688,-129.416254838618,-898.001129062663,2464
7,7,2,sequential,7.13304434443039,-137.034074036908,-941.465919668285,2624
7,7,2,coordinated,4.70922997902461,-141.417107442756,-864.750109893376,2343
7,7,2,delayed_coordination,6.78012696339378,-135.919641081345,-928.609608750059,2549
7,7,4,baseline,0,0,0,0
7,7,4,early_mover,-7.14289195115765,-76.9618628691239,-627.809627592225,1531
7,7,4,sequential,-8.47188919648393,-83.2151474193165,-675.113396470993,1671
7,7,4,coordinated,-7.48026911033884,-96.9550639244599,-714.810535477656,1869
7,7,4,delayed_coordination,-11.7106074905581,-75.4854884650994,-634.850890671952,1554
7,7,8,baseline,0,0,0,0
7,7,8,early_mover,-9.20419482588332,-83.180212974186,-658.7531001353,1569
7,7,8,sequential,-10.3847880792536,-97.5000863495049,-731.453909710883,1740
7,7,8,coordinated,-15.9019641415896,-82.3123385387987,-578.003201679039,1474
7,7,8,delayed_coordination,-12.7308593115781,-88.4344054429181,-656.536871514353,1617
8,8,2,baseline,0,0,0,0
8,8,2,early_mover,0.936578511952163,-105.232237709191,-814.220201774572,2385
8,8,2,sequential,-1.62354295186645,-116.382872703602,-846.545330024707,2480
8,8,2,coordinated,1.24787590343976,-118.323977394418,-875.901068359982,2646
8,8,2,delayed_coordination,-2.69420095717496,-111.833539753475,-838.731612249609,2469
8,8,4,baseline,0,0,0,0
8,8,4,early_mover,-3.10722251095788,-112.886986343185,-750.537895567036,2110
8,8,4,sequential,-8.91142526129273,-110.173284352991,-719.472483713192,2033
8,8,4,coordinated,-8.64331157750522,-107.174725342997,-675.355562871066,1966
8,8,4,delayed_coordination,-6.52779390997624,-114.72985009481,-755.518439352731,2097
8,8,8,baseline,0,0,0,0
8,8,8,early_mover,-13.5047906079567,-82.0893991460689,-566.323797505468,1400
8,8,8,sequential,-16.5228715439798,-90.9383011214397,-596.046304686583,1379
8,8,8,coordinated,-16.6247803414696,-83.3708492994893,-614.386149906266,1532
8,8,8,delayed_coordination,-15.633482682103,-87.5947325108793,-619.928675005617,1461
9,9,2,baseline,0,0,0,0
9,9,2,early_mover,10.8804851941058,-137.279620786473,-963.112964734274,2883
9,9,2,sequential,11.4938064788735,-149.162682281818,-1032.54041393968,2982
9,9,2,coordinated,1.96280743619738,-89.7226595500833,-795.054098630262,2092
9,9,2,delayed_coordination,9.91561238237566,-145.810265531366,-1020.62702964357,2960
9,9,4,baseline,0,0,0,0
9,9,4,early_mover,-5.17657402889191,-119.776330170614,-777.364428222641,2036
9,9,4,sequential,-9.35269344661627,-122.272463956586,-737.977380015662,1973
9,9,4,coordinated,-6.96123775248768,-113.974725821204,-792.411947097602,2012
9,9,4,delayed_coordination,-7.28967126094852,-123.361746813551,-825.393162770477,2104
9,9,8,baseline,0,0,0,0
9,9,8,early_mover,-8.87720984889393,-91.7085318217265,-609.981034929299,1591
9,9,8,sequential,-11.7862888598634,-83.9680347353281,-647.227065102517,1530
9,9,8,coordinated,-12.0502817650055,-103.783358237639,-691.89186455387,1632
9,9,8,delayed_coordination,-10.2253945285624,-94.05466130755,-654.346763148589,1568
10,10,2,baseline,0,0,0,0
10,10,2,early_mover,9.43858236775968,-127.06508470829,-909.752548262647,2878
10,10,2,sequential,8.8610207708371,-132.039436884764,-1034.31860652075,3117
10,10,2,coordinated,5.73011710665473,-125.064756239267,-980.073474496698,3117
10,10,2,delayed_coordination,10.8964783661607,-137.223102244206,-1073.95976443709,3196
10,10,4,baseline,0,0,0,0
10,10,4,early_mover,0.892826544508623,-108.196142454002,-780.940402818179,2492
10,10,4,sequential,0.747802747486006,-121.264617708354,-915.663886799796,2705
10,10,4,coordinated,0.687682725036652,-115.822251473329,-888.874642769876,2755
10,10,4,delayed_coordination,1.05952746142638,-118.411786274233,-916.323844312805,2713
10,10,8,baseline,0,0,0,0
10,10,8,early_mover,-7.55379832619747,-98.6761273861726,-715.842595788484,1963
10,10,8,sequential,-8.65032996517159,-100.539457177312,-818.967191460917,2065
10,10,8,coordinated,-11.7774539154434,-99.252173094454,-706.128712460586,1971
10,10,8,delayed_coordination,-5.01531099186583,-113.547530497618,-862.907080236639,2190
11,11,2,baseline,0,0,0,0
11,11,2,early_mover,4.23408609581017,-111.791281120052,-802.240376217866,2477
11,11,2,sequential,2.80783159245036,-126.596802711278,-871.461334574281,2509
11,11,2,coordinated,3.89642996719218,-129.346431887613,-760.577519727413,2398
11,11,2,delayed_coordination,5.15696542757792,-127.257421626784,-895.434814573951,2605
11,11,4,baseline,0,0,0,0
11,11,4,early_mover,-3.58072509210884,-94.4539354450893,-626.480965241664,1857
11,11,4,sequential,-2.47288147637296,-102.415135075756,-774.837719577475,2120
