replication,seed,beta,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
1,1,2,baseline,Baseline,123.900796651557,380.077424328917,2604.69023306253,79,1539,530,1009
1,1,2,early_mover,Early Mover,123.112147589114,310.273484814602,2012.59342610094,187,3296,869,2427
1,1,2,sequential,Sequential,123.795805903734,268.308695429027,1800.47175267284,253,3570,957,2613
1,1,2,coordinated,Coordinated,122.540296060141,289.508937872813,1861.18478112144,215,3422,886,2536
1,1,2,delayed_coordination,Delayed Coordination,127.649239801376,263.159062315866,1755.41980549407,245,3733,968,2765
1,1,4,baseline,Baseline,123.409902094528,388.905688852563,2626.28447587375,77,1531,594,937
1,1,4,early_mover,Early Mover,122.312911826272,276.857362878702,1906.95515763826,223,3466,1063,2403
1,1,4,sequential,Sequential,123.149814504869,244.232515342964,1755.9857980025,245,3612,1112,2500
1,1,4,coordinated,Coordinated,117.270733718121,288.737803641952,1905.1838276424,207,3485,1102,2383
1,1,4,delayed_coordination,Delayed Coordination,122.572753333865,252.632127155263,1790.17362975759,243,3668,1117,2551
1,1,8,baseline,Baseline,122.172452677243,380.03850437311,2639.6302195189,74,1385,512,873
1,1,8,early_mover,Early Mover,112.320567403818,331.022737302774,2156.70180698574,163,2782,896,1886
1,1,8,sequential,Sequential,108.019353554668,320.76531750692,2062.31445853407,188,2885,959,1926
1,1,8,coordinated,Coordinated,110.154366072788,290.58949244774,1974.55527582431,184,3098,933,2165
1,1,8,delayed_coordination,Delayed Coordination,112.138174615926,308.294947573943,1981.64586652849,202,3006,970,2036
2,2,2,baseline,Baseline,123.568693558464,402.417260602935,2587.14240940591,90,1818,652,1166
2,2,2,early_mover,Early Mover,126.780043802122,268.427230712458,1679.5719834657,269,4626,1201,3425
2,2,2,sequential,Sequential,126.406703799615,250.392532386796,1595.46508671966,287,4731,1217,3514
2,2,2,coordinated,Coordinated,123.617805635303,244.960825662006,1628.10579852693,270,4716,1218,3498
2,2,2,delayed_coordination,Delayed Coordination,125.324153023126,253.059495088066,1617.68861155204,283,4709,1176,3533
2,2,4,baseline,Baseline,122.62599675657,393.21231572829,2604.53433086301,83,1741,638,1103
2,2,4,early_mover,Early Mover,124.70203551947,257.853408134083,1738.25049385161,261,4276,1226,3050
2,2,4,sequential,Sequential,121.897330502215,248.414320038528,1679.93733086594,280,4310,1297,3013
2,2,4,coordinated,Coordinated,121.671496601204,251.422633144648,1686.98449866941,254,4264,1174,3090
2,2,4,delayed_coordination,Delayed Coordination,121.585454017342,261.69632978306,1702.26697877439,265,4327,1270,3057
2,2,8,baseline,Baseline,121.497760585566,388.199636730729,2617.86502580483,95,1643,623,1020
2,2,8,early_mover,Early Mover,116.786924202183,264.372959651526,1820.53199069879,229,3726,1211,2515
2,2,8,sequential,Sequential,111.788711746556,286.513187709427,1855.97870635215,225,3610,1174,2436
2,2,8,coordinated,Coordinated,111.657786998201,278.573499591494,1879.15647668648,233,3603,1179,2424
2,2,8,delayed_coordination,Delayed Coordination,111.907437197046,280.590427485378,1849.64888495359,245,3681,1196,2485
3,3,2,baseline,Baseline,126.753235765219,407.478757231677,2581.50850381706,86,1671,595,1076
3,3,2,early_mover,Early Mover,130.426861387195,269.046825491372,1692.03311888595,257,4189,1129,3060
3,3,2,sequential,Sequential,128.008437394396,265.672136803329,1678.14698463794,263,4139,1119,3020
3,3,2,coordinated,Coordinated,128.957204950629,290.147152795905,1669.75269301168,260,4304,1156,3148
3,3,2,delayed_coordination,Delayed Coordination,130.048543945803,270.262945147298,1618.82093326213,248,4078,1092,2986
3,3,4,baseline,Baseline,127.376172453757,413.161971118621,2590.35879427508,82,1645,630,1015
3,3,4,early_mover,Early Mover,124.954933359321,296.37321999332,1833.18529342646,234,3773,1205,2568
3,3,4,sequential,Sequential,124.394326365786,277.430256894128,1754.00612631805,255,3835,1264,2571
3,3,4,coordinated,Coordinated,121.107439854344,292.677760004236,1773.24690828007,243,3877,1197,2680
3,3,4,delayed_coordination,Delayed Coordination,126.952231124834,277.039505705663,1685.19326665208,267,3979,1247,2732
3,3,8,baseline,Baseline,122.757494484828,422.189207279083,2704.11810837864,57,1168,434,734
3,3,8,early_mover,Early Mover,115.649571524898,314.848313939494,1971.48720819744,219,3171,1049,2122
3,3,8,sequential,Sequential,113.815635368504,301.510342791495,1930.46804200144,213,3172,1062,2110
3,3,8,coordinated,Coordinated,113.444881037843,300.173314912386,1917.03366724089,225,3345,1098,2247
3,3,8,delayed_coordination,Delayed Coordination,114.086193317757,299.256974354091,1925.22338166482,213,3164,1051,2113
4,4,2,baseline,Baseline,121.989153924868,388.93615422609,2568.56971243624,97,1884,526,1358
4,4,2,early_mover,Early Mover,124.914238341564,257.700617855741,1677.50232995565,278,4605,951,3654
4,4,2,sequential,Sequential,125.138982654679,248.64054932785,1584.58275314288,284,4721,1091,3630
4,4,2,coordinated,Coordinated,123.09523006586,288.059919754957,1689.49846989899,265,4298,1139,3159
4,4,2,delayed_coordination,Delayed Coordination,125.919850347561,245.690423899055,1549.65386708452,299,4738,1029,3709
4,4,4,baseline,Baseline,122.444222007046,388.222152444097,2567.15396998536,99,1891,525,1366
4,4,4,early_mover,Early Mover,125.078081098137,252.555685790038,1637.3771543941,268,4371,1062,3309
4,4,4,sequential,Sequential,121.494910688604,259.702654476614,1617.15460857784,280,4321,1131,3190
4,4,4,coordinated,Coordinated,117.437990668408,299.556569288894,1746.75276000042,253,4071,1131,2940
4,4,4,delayed_coordination,Delayed Coordination,122.440420067639,241.929156999902,1581.88206601595,285,4520,1160,3360
4,4,8,baseline,Baseline,122.069023994015,388.647109153855,2590.13679665617,90,1832,547,1285
4,4,8,early_mover,Early Mover,115.779484307452,293.918925950519,1837.39066604599,246,3832,1092,2740
4,4,8,sequential,Sequential,112.685022612827,272.876902108894,1767.38710799399,263,3857,1152,2705
4,4,8,coordinated,Coordinated,110.568605777755,288.885057432889,1838.01515291118,224,3584,1137,2447
4,4,8,delayed_coordination,Delayed Coordination,111.104588199863,287.579671716779,1805.62112444797,241,3768,1128,2640
5,5,2,baseline,Baseline,123.859101236689,378.867428548774,2480.66400563407,110,2272,510,1762
5,5,2,early_mover,Early Mover,131.966203879348,254.993860915858,1658.96975257776,270,4760,1016,3744
5,5,2,sequential,Sequential,129.813003140023,246.62524836962,1627.06077694049,258,4617,1052,3565
5,5,2,coordinated,Coordinated,128.367417745531,268.569391677121,1691.56001920659,241,4303,1139,3164
5,5,2,delayed_coordination,Delayed Coordination,129.499905262287,247.989317464078,1624.69668598085,262,4659,1026,3633
5,5,4,baseline,Baseline,122.999682145179,375.753072594,2500.85760980198,97,2156,480,1676
5,5,4,early_mover,Early Mover,118.895829097692,275.995270092931,1851.0569143788,227,3791,1078,2713
5,5,4,sequential,Sequential,112.559154489061,281.056372629668,1901.3216047123,218,3623,1114,2509
5,5,4,coordinated,Coordinated,110.70512797609,305.843030416939,1966.26207469496,174,3422,1063,2359
5,5,4,delayed_coordination,Delayed Coordination,113.833006391221,294.830909747808,1908.52551284766,203,3595,1094,2501
5,5,8,baseline,Baseline,121.363987375228,382.366866337903,2530.18553129942,93,2006,449,1557
