replication,beta,lowest_risk_scenario,lowest_final_risk
1,2,coordinated,210.185085913291
1,4,delayed_coordination,233.815861461161
1,8,sequential,248.929250388155
2,2,sequential,216.473894077981
2,4,delayed_coordination,238.591640618031
2,8,early_mover,280.163369594039
3,2,coordinated,225.315251071833
3,4,sequential,259.0751440614
3,8,delayed_coordination,263.773167539491
4,2,early_mover,228.307872200413
4,4,delayed_coordination,202.704161305246
4,8,coordinated,237.125551236633
5,2,sequential,189.541509702313
5,4,sequential,216.83029685136
5,8,delayed_coordination,242.618906046917
6,2,delayed_coordination,201.397479397026
6,4,sequential,231.186094663746
6,8,delayed_coordination,276.480544751166
7,2,coordinated,217.757980567356
7,4,sequential,237.088938577919
7,8,early_mover,258.23944724432
8,2,sequential,190.002758486862
8,4,coordinated,227.387320652565
8,8,sequential,235.814352812659
9,2,delayed_coordination,225.168662732529
9,4,sequential,231.540831309036
9,8,delayed_coordination,245.614224141822
10,2,coordinated,218.253430343997
10,4,coordinated,241.535838676811
10,8,sequential,244.866492413435
11,2,sequential,227.811060873029
11,4,coordinated,237.184561671278
11,8,coordinated,242.913859623205
12,2,sequential,227.233824137314
12,4,delayed_coordination,231.096802748487
12,8,delayed_coordination,250.45625031331
13,2,sequential,220.378104344451
13,4,coordinated,225.771151368017
13,8,sequential,253.986691878964
14,2,delayed_coordination,209.171561176108
14,4,delayed_coordination,246.716764243454
14,8,sequential,256.871219390378
15,2,sequential,216.796446324001
15,4,sequential,241.300260404474
15,8,early_mover,267.063182075288
16,2,sequential,225.28106308067
16,4,delayed_coordination,223.8162877999
16,8,coordinated,242.420291106437
17,2,coordinated,200.08673477982
17,4,delayed_coordination,226.213532455743
17,8,delayed_coordination,261.409818552222
18,2,sequential,214.239968139477
18,4,coordinated,235.173540922145
18,8,delayed_coordination,239.508186118671
19,2,delayed_coordination,215.436235176423
19,4,delayed_coordination,221.358023582127
19,8,sequential,237.842903490866
20,2,coordinated,194.233379622082
20,4,sequential,242.899553646424
20,8,early_mover,251.802869406289
21,2,sequential,244.849286849278
21,4,coordinated,244.690135789813
21,8,coordinated,277.976903113109
22,2,sequential,228.714807783438
22,4,delayed_coordination,226.127904047342
22,8,coordinated,244.953328635185
23,2,sequential,203.360874640201
23,4,coordinated,268.353567415466
23,8,delayed_coordination,243.118988272023
24,2,delayed_coordination,198.090316720016
24,4,delayed_coordination,226.604580379117
24,8,sequential,254.974344483415
25,2,coordinated,221.162779779338
25,4,sequential,287.940969156219
25,8,sequential,271.69093335282
26,2,delayed_coordination,228.679759722314
26,4,sequential,234.614772413392
26,8,delayed_coordination,250.629527628654
27,2,early_mover,219.06250585546
27,4,sequential,229.318130369392
27,8,coordinated,258.632668270078
28,2,coordinated,221.571949846702
28,4,sequential,244.924963745588
28,8,coordinated,280.023149531223
29,2,early_mover,194.855724329491
29,4,sequential,214.674722493752
29,8,coordinated,228.387767230386
30,2,sequential,224.576149873267
30,4,delayed_coordination,248.853383655047
30,8,delayed_coordination,272.754468418392
31,2,sequential,208.998542491022
31,4,delayed_coordination,208.634795000645
31,8,early_mover,258.890576468453
32,2,coordinated,222.23048300307
32,4,sequential,246.519429983052
32,8,coordinated,261.944259110526
33,2,sequential,201.817043246636
33,4,sequential,240.855900047394
33,8,early_mover,272.787543414026
34,2,coordinated,224.179908587643
34,4,sequential,235.535462818092
34,8,delayed_coordination,258.001276330578
35,2,delayed_coordination,229.118549615577
35,4,coordinated,235.85345618497
35,8,early_mover,248.853726131119
36,2,delayed_coordination,240.806927249631
36,4,delayed_coordination,237.397255381292
36,8,delayed_coordination,274.806931335694
37,2,sequential,190.928545279191
37,4,coordinated,213.886674405249
37,8,delayed_coordination,268.702850895438
38,2,delayed_coordination,233.482003153023
38,4,sequential,247.015895795417
38,8,sequential,259.171982819437
39,2,coordinated,245.829813181361
39,4,delayed_coordination,188.533903235838
39,8,delayed_coordination,238.848389204981
40,2,sequential,201.558702863276
40,4,sequential,223.037297390459
40,8,delayed_coordination,239.777209025943
41,2,coordinated,223.422392999979
41,4,delayed_coordination,258.57686595358
41,8,delayed_coordination,230.915804749904
42,2,delayed_coordination,232.331807671252
42,4,delayed_coordination,229.014433113698
42,8,coordinated,254.521017772571
43,2,delayed_coordination,192.102417317589
43,4,sequential,216.711247778695
43,8,delayed_coordination,246.058915699186
44,2,delayed_coordination,229.144238679011
44,4,sequential,237.746675432423
44,8,early_mover,256.37244710598
45,2,coordinated,227.391154917495
45,4,coordinated,237.716588698564
45,8,delayed_coordination,258.442194256324
46,2,coordinated,225.730399174199
46,4,sequential,237.97063859438
46,8,sequential,254.949676436112
47,2,delayed_coordination,272.260278728599
47,4,early_mover,244.976334654132
47,8,delayed_coordination,255.30339735164
48,2,coordinated,232.74824162331
48,4,delayed_coordination,272.072264518476
48,8,delayed_coordination,241.640297703788
49,2,delayed_coordination,234.969298170785
49,4,coordinated,244.367313287725
49,8,delayed_coordination,279.449887295394
50,2,sequential,219.481851958413
50,4,coordinated,234.178604333378
50,8,early_mover,254.971669091902
51,2,delayed_coordination,201.34323850459
51,4,delayed_coordination,216.162700628897
51,8,sequential,264.799841160973
52,2,coordinated,215.332849839945
52,4,sequential,240.638254205152
52,8,sequential,260.460573852154
53,2,delayed_coordination,208.287280321165
53,4,sequential,222.787619780668
53,8,delayed_coordination,242.668240441299
54,2,coordinated,213.192668890209
54,4,sequential,222.250145346605
54,8,early_mover,255.87948404066
55,2,sequential,255.937615996935
55,4,delayed_coordination,305.012121704474
55,8,delayed_coordination,280.259836923093
56,2,sequential,231.04861446455
56,4,sequential,246.417748794345
56,8,early_mover,255.290705698117
57,2,sequential,239.456066337328
57,4,coordinated,253.635505894798
57,8,sequential,241.008955614807
58,2,delayed_coordination,174.141791986412
58,4,coordinated,232.624389650813
58,8,delayed_coordination,237.119813570216
59,2,coordinated,214.108541429474
59,4,delayed_coordination,226.603635023021
59,8,delayed_coordination,286.155115102511
60,2,sequential,216.856163775046
60,4,sequential,219.549449964681
60,8,delayed_coordination,248.541405456748
61,2,delayed_coordination,183.809104861063
61,4,sequential,222.579537067718
61,8,delayed_coordination,233.47142049659
62,2,sequential,211.126148214133
62,4,delayed_coordination,211.013179888056
62,8,coordinated,260.41360306349
63,2,delayed_coordination,211.587029102691
63,4,coordinated,235.741386118123
63,8,sequential,257.921462489781
64,2,delayed_coordination,218.101361889054
64,4,sequential,221.013398610489
64,8,early_mover,240.223386788409
65,2,sequential,197.21165262107
65,4,sequential,213.943750075232
65,8,delayed_coordination,257.771950294435
66,2,delayed_coordination,195.39175976199
66,4,delayed_coordination,213.121102899915
66,8,early_mover,221.613856100553
67,2,early_mover,239.936345830258
67,4,sequential,228.946455958124
67,8,delayed_coordination,230.421688149592
68,2,coordinated,216.092904471423
68,4,delayed_coordination,241.838319643183
68,8,delayed_coordination,252.703429675579
69,2,coordinated,211.935572552595
69,4,sequential,242.160972193044
69,8,delayed_coordination,246.89602284389
70,2,delayed_coordination,218.348356534259
70,4,delayed_coordination,239.985913586502
70,8,delayed_coordination,248.046911243455
71,2,coordinated,206.337621797018
71,4,coordinated,229.462087992177
71,8,coordinated,258.649641136311
72,2,delayed_coordination,218.361965730819
72,4,sequential,233.608761064958
72,8,delayed_coordination,252.722654970876
73,2,coordinated,202.169358250395
73,4,sequential,200.765724638996
73,8,sequential,227.801659268335
74,2,coordinated,242.8213478918
74,4,delayed_coordination,243.096336808096
74,8,coordinated,285.90526662872
75,2,delayed_coordination,212.721495593799
75,4,early_mover,231.641778539476
75,8,early_mover,235.717173064245
76,2,sequential,199.479701648786
76,4,delayed_coordination,215.991133900601
76,8,sequential,237.277463257183
77,2,coordinated,223.423712372673
77,4,sequential,240.068855886503
77,8,sequential,267.011028576679
78,2,delayed_coordination,218.563448516123
78,4,coordinated,232.238816725221
78,8,delayed_coordination,248.200468625834
79,2,early_mover,234.772802580364
79,4,delayed_coordination,239.089020383512
79,8,delayed_coordination,253.801326159276
80,2,sequential,221.70181184595
80,4,coordinated,239.535465723083
80,8,delayed_coordination,269.009255513401
81,2,sequential,217.388446175444
81,4,delayed_coordination,245.380616090808
81,8,sequential,239.721352156619
82,2,coordinated,231.459188178935
82,4,sequential,203.763806724773
82,8,coordinated,242.087995814901
83,2,delayed_coordination,187.916082397104
83,4,delayed_coordination,223.520120053881
83,8,sequential,232.575964012641
84,2,coordinated,218.894624981371
84,4,sequential,237.708397371152
84,8,coordinated,255.249278183326
85,2,sequential,193.689737897949
85,4,sequential,233.761730010688
85,8,sequential,262.197390272664
86,2,sequential,231.835606305574
86,4,coordinated,236.384069456314
86,8,sequential,274.153875942361
87,2,coordinated,219.601114217782
87,4,sequential,242.018297131812
87,8,sequential,270.500107497392
88,2,delayed_coordination,203.261607085598
88,4,delayed_coordination,226.248989008403
88,8,delayed_coordination,260.209398110745
89,2,sequential,201.285480012476
89,4,coordinated,232.381959013011
89,8,sequential,255.016729396319
90,2,delayed_coordination,212.993497224104
90,4,delayed_coordination,225.036211809215
90,8,coordinated,260.763552289303
91,2,coordinated,251.609159809866
91,4,delayed_coordination,249.404928645763
91,8,sequential,263.778769882452
92,2,coordinated,249.643350342483
92,4,coordinated,216.815629873726
92,8,sequential,249.451158003449
93,2,delayed_coordination,195.469123949816
93,4,sequential,235.762483478046
93,8,early_mover,266.67078575378
94,2,sequential,215.308893232534
94,4,sequential,247.282383077599
94,8,early_mover,280.58967952908
95,2,sequential,207.344200546346
95,4,delayed_coordination,239.113780902396
95,8,coordinated,266.285888276093
96,2,delayed_coordination,205.156225650473
96,4,delayed_coordination,213.682888569348
96,8,sequential,258.895105831154
97,2,delayed_coordination,205.302199100455
97,4,early_mover,270.406640153378
97,8,sequential,252.733760307859
98,2,delayed_coordination,190.908644108662
98,4,delayed_coordination,228.257267922251
98,8,sequential,243.677308705993
99,2,sequential,242.456049753308
99,4,sequential,257.572706803131
99,8,early_mover,258.105796386174
100,2,sequential,204.214301029696
100,4,sequential,258.595960066554
100,8,sequential,256.194473844029
