policyPenalty,scenarioID,scenarioName,GroupCount,mean_finalFitness,std_finalFitness,median_finalFitness,min_finalFitness,max_finalFitness,mean_finalRisk,std_finalRisk,median_finalRisk,min_finalRisk,max_finalRisk,mean_finalTrade,std_finalTrade,median_finalTrade,min_finalTrade,max_finalTrade,mean_finalRecoveringLinks,std_finalRecoveringLinks,median_finalRecoveringLinks,min_finalRecoveringLinks,max_finalRecoveringLinks,mean_totalSwitches,std_totalSwitches,median_totalSwitches,min_totalSwitches,max_totalSwitches,mean_localSwitches,std_localSwitches,median_localSwitches,min_localSwitches,max_localSwitches,mean_globalSwitches,std_globalSwitches,median_globalSwitches,min_globalSwitches,max_globalSwitches
0.25,baseline,Baseline,100,127.114075521689,1.46395798809435,126.93032501104,123.845704012393,130.7030572918,337.570300399783,15.236749717767,337.525745531532,302.559492566228,378.854960264567,2289.27192273151,62.5669519239417,2286.52050231041,2138.38943931166,2467.09032458123,119.67,13.0050922427495,122,84,149,2884.05,214.560550423371,2894,2240,3428,1080.85,87.0176314422438,1080,893,1323,1803.2,230.682562072742,1782,1240,2476
0.25,coordinated,Coordinated,100,113.538342208535,2.30387036791005,113.630187188541,109.082503234902,121.833944310185,315.913382907826,19.0572119733524,314.722008615019,271.765193169113,368.997820942041,2156.89818538081,75.1623133046552,2158.65306289072,1973.93520755741,2400.55048781532,142.38,19.7344901380831,140,94,184,3125.33,271.478110991429,3119,2394,3805,1295.4,105.624262593804,1298.5,1025,1614,1829.93,246.289648605257,1816,1277,2460
0.25,delayed_coordination,Delayed Coordination,100,113.528050506043,2.38638195684153,113.413577550031,108.371028438435,122.27897232673,315.98396836445,16.9317720347807,315.28854550059,268.856545997492,357.841701554867,2153.23003465364,68.0990817356582,2147.18636999328,2031.29983121638,2332.90787614062,144.61,19.6128668341613,145,97,190,3129.04,259.048020976261,3123,2501,3796,1314.8,106.178618327321,1326,1000,1582,1814.24,240.803835668636,1823.5,1332,2498
0.25,early_mover,Early Mover,100,114.72570117126,2.42133356429101,114.693157098811,110.144735958767,121.880304290166,320.204074076168,17.1261572272566,320.133995285941,276.768733308743,369.587324403015,2178.57517471813,67.9525757827477,2170.68515906677,2033.29880061637,2358.04835000222,139.52,17.73798070796,139,103,177,3101.96,260.143896466334,3101.5,2466,3803,1321.66,108.896319886617,1332,1000,1590,1780.3,239.710326027146,1791.5,1292,2433
0.25,sequential,Sequential,100,113.487764970205,2.5012415731946,113.505936914692,108.348580216577,120.884960548671,316.100545329797,17.1437850477251,315.318422966374,269.791852063318,360.542653204502,2152.67233168143,66.7178222397489,2146.92122184093,2017.61938737505,2326.53255375691,145.39,18.4011939665322,145,102,194,3115.01,256.914932861585,3131.5,2491,3791,1319.92,105.584441767878,1326,990,1572,1795.09,236.178758485169,1821.5,1318,2462
0.5,baseline,Baseline,100,127.114075521689,1.46395798809435,126.93032501104,123.845704012393,130.7030572918,337.570300399783,15.236749717767,337.525745531532,302.559492566228,378.854960264567,2289.27192273151,62.5669519239417,2286.52050231041,2138.38943931166,2467.09032458123,119.67,13.0050922427495,122,84,149,2884.05,214.560550423371,2894,2240,3428,1080.85,87.0176314422438,1080,893,1323,1803.2,230.682562072742,1782,1240,2476
0.5,coordinated,Coordinated,100,117.63362493107,4.46734784017111,117.251277277218,106.811675251637,128.451634535954,244.750495431203,18.4581032990419,243.747964760696,206.029557572425,308.576083527864,1670.77262196593,88.2647603547415,1662.81139749634,1510.90429480214,1901.75095353901,248.73,26.5139014423938,250.5,180,303,4680.73,353.220503854794,4694.5,3872,5348,1677.73,101.619497751329,1687.5,1448,1872,3003,307.965038026177,3047,2282,3602
0.5,delayed_coordination,Delayed Coordination,100,119.684348128531,4.47709575877569,119.889423004776,107.991279296156,129.726214881408,239.130282868725,18.8097426570453,239.101400642954,188.533903235838,305.012121704474,1622.74248460315,86.5285472507223,1615.11549205368,1463.34124581778,1901.55488185431,257.76,23.9663568909891,260,202,301,4797.15,326.494616875202,4793,3802,5509,1692.59,101.102018183655,1690.5,1385,1930,3104.56,293.175312808572,3124.5,2417,3755
0.5,early_mover,Early Mover,100,121.895308303346,4.24710797987172,121.703228215124,109.947449266301,133.426529236322,246.082246382807,18.9802325572746,245.466580716365,198.624724137838,318.704196041617,1668.94822156501,87.2128665900559,1661.99634347834,1508.13925474685,1952.2858921509,251.74,21.7035211033332,255,203,299,4775.44,331.304563106749,4790,3763,5569,1670.37,98.3415666815093,1664.5,1392,1842,3105.07,307.004236308086,3115.5,2290,3835
0.5,sequential,Sequential,100,119.353518205299,4.25194221880727,119.62991400787,108.899927917466,127.879967594918,239.6416054593,17.4833760208685,237.878657326523,192.206132692016,307.449494927205,1627.44247054045,82.4524528722448,1624.50156605821,1479.28537221778,1860.97635011817,257.21,23.4285050416122,258,192,304,4769.42,319.588819794081,4758.5,3793,5520,1701.53,98.6033227255819,1700.5,1344,1876,3067.89,286.776578471109,3084.5,2283,3716
