replication,seed,policy_penalty,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
1,1,0.25,baseline,Baseline,0,0,0,0,0
1,1,0.25,early_mover,Early Mover,-11.237597755319,-39.9999802323119,-142.855988329552,36,277
1,1,0.25,sequential,Sequential,-13.1685926276446,-43.5896938615311,-158.819791976437,33,279
1,1,0.25,coordinated,Coordinated,-15.6037537928841,-39.3850236412188,-68.3379578066179,4,-3
1,1,0.25,delayed_coordination,Delayed Coordination,-12.9886417257523,-50.4361954497344,-140.468408360399,31,246
1,1,0.5,baseline,Baseline,0,0,0,0,0
1,1,0.5,early_mover,Early Mover,-9.2700169738528,-104.233546737453,-542.654332041675,104,1492
1,1,0.5,sequential,Sequential,-13.5063767302676,-108.017094521981,-555.235506801216,99,1396
1,1,0.5,coordinated,Coordinated,-14.1872051994781,-104.662276622977,-477.427922721922,86,1268
1,1,0.5,delayed_coordination,Delayed Coordination,-12.6308874955035,-113.745538785668,-567.217096147391,109,1519
1,1,0.75,baseline,Baseline,0,0,0,0,0
1,1,0.75,early_mover,Early Mover,3.63463512733338,-136.862469098684,-884.308676101236,145,2291
1,1,0.75,sequential,Sequential,-0.310015413374117,-142.127145268023,-947.994075161041,142,2306
1,1,0.75,coordinated,Coordinated,-7.80824641804624,-122.294425012203,-870.26390279177,114,2081
1,1,0.75,delayed_coordination,Delayed Coordination,-0.358126860002955,-144.610196673523,-938.801320088058,157,2359
2,2,0.25,baseline,Baseline,0,0,0,0,0
2,2,0.25,early_mover,Early Mover,-14.0812583714417,-3.84381337405063,-85.0322084820286,17,226
2,2,0.25,sequential,Sequential,-15.7419344409271,-11.5381055929999,-91.418975816302,15,192
2,2,0.25,coordinated,Coordinated,-15.5723634606249,-9.24495104070394,-83.7274950057094,4,136
2,2,0.25,delayed_coordination,Delayed Coordination,-15.1655762931973,-4.65975260766987,-86.1183607977082,12,217
2,2,0.5,baseline,Baseline,0,0,0,0,0
2,2,0.5,early_mover,Early Mover,-5.15597811462122,-90.7939010929196,-682.37271986005,141,1988
2,2,0.5,sequential,Sequential,-7.87359381042137,-93.1381449661166,-739.502983429134,154,2089
2,2,0.5,coordinated,Coordinated,-9.27047043474522,-95.6768587923528,-693.686423834307,159,2135
2,2,0.5,delayed_coordination,Delayed Coordination,-5.01634924375277,-102.159778735289,-777.030595032111,149,2112
2,2,0.75,baseline,Baseline,0,0,0,0,0
2,2,0.75,early_mover,Early Mover,-2.17493047276776,-142.34657995471,-863.455007801873,136,2234
2,2,0.75,sequential,Sequential,-9.05690298663389,-151.632879989808,-892.864672961027,143,2174
2,2,0.75,coordinated,Coordinated,-20.5436399744519,-127.140055334546,-754.082141801629,77,1451
2,2,0.75,delayed_coordination,Delayed Coordination,-9.15215107412418,-154.790417320482,-913.546784143185,126,2191
3,3,0.25,baseline,Baseline,0,0,0,0,0
3,3,0.25,early_mover,Early Mover,-11.8541124323283,-21.4381220808351,-109.04197457901,26,226
3,3,0.25,sequential,Sequential,-12.9900735378447,-26.3836955114201,-144.030884354087,36,251
3,3,0.25,coordinated,Coordinated,-14.0732587378925,-14.5494344217466,-66.5398367659159,10,154
3,3,0.25,delayed_coordination,Delayed Coordination,-12.690921437113,-25.6832898756867,-134.182448440616,25,261
3,3,0.5,baseline,Baseline,0,0,0,0,0
3,3,0.5,early_mover,Early Mover,-11.9617869488977,-83.2920162415857,-514.804432430337,120,1523
3,3,0.5,sequential,Sequential,-12.2483966068277,-89.8212688625817,-606.11397446306,108,1553
3,3,0.5,coordinated,Coordinated,-10.6723507058884,-88.4922548314283,-593.335279768354,140,1632
3,3,0.5,delayed_coordination,Delayed Coordination,-14.2114680569206,-79.4342449284686,-565.535442726926,123,1562
3,3,0.75,baseline,Baseline,0,0,0,0,0
3,3,0.75,early_mover,Early Mover,4.45168070090904,-118.864309924239,-947.581457981096,167,2769
3,3,0.75,sequential,Sequential,3.30302320794118,-131.588140760916,-1046.41107483225,185,2934
3,3,0.75,coordinated,Coordinated,-5.36542191797227,-115.766439470603,-930.687114483311,125,2310
3,3,0.75,delayed_coordination,Delayed Coordination,-0.414023870911677,-127.622354581647,-1000.6128034627,178,2739
4,4,0.25,baseline,Baseline,0,0,0,0,0
4,4,0.25,early_mover,Early Mover,-12.4625888440806,-26.8309914095847,-103.794935688166,28,277
4,4,0.25,sequential,Sequential,-12.258450778582,-33.8078726550098,-147.177298252695,36,296
4,4,0.25,coordinated,Coordinated,-11.7824169579245,-31.5805956996197,-156.33830025857,35,289
4,4,0.25,delayed_coordination,Delayed Coordination,-12.4054096759368,-34.743178720835,-150.743767627392,36,306
4,4,0.5,baseline,Baseline,0,0,0,0,0
4,4,0.5,early_mover,Early Mover,-2.40152584482388,-98.7354573486889,-674.682527428699,146,1761
4,4,0.5,sequential,Sequential,-9.26230632461844,-74.0054845829126,-614.704043057839,113,1633
4,4,0.5,coordinated,Coordinated,-9.08725776016709,-89.4509983710812,-612.680903934442,109,1647
4,4,0.5,delayed_coordination,Delayed Coordination,-4.95531425471489,-100.895563413081,-713.617833283087,149,1854
4,4,0.75,baseline,Baseline,0,0,0,0,0
4,4,0.75,early_mover,Early Mover,-0.649166527686603,-111.638921496478,-898.649095547174,149,2336
4,4,0.75,sequential,Sequential,-10.2276818857999,-114.0068753527,-884.322898070644,113,2046
4,4,0.75,coordinated,Coordinated,-10.2156821029881,-120.572577070106,-825.456947821214,110,1950
4,4,0.75,delayed_coordination,Delayed Coordination,-7.15258504627347,-109.657804697597,-911.607214253706,127,2254
5,5,0.25,baseline,Baseline,0,0,0,0,0
5,5,0.25,early_mover,Early Mover,-15.8030897467186,-11.3248368824281,-77.5432554688714,2,-9
