replication,seed,policy_penalty,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
1,1,0.25,early_mover,sequential,1.66226437329132,2.21631240485777,27.0593118255051,-15
1,1,0.25,early_mover,coordinated,1.38742592671926,-14.2349327089337,1.72506512286964,61
1,1,0.25,early_mover,delayed_coordination,1.74297161141709,2.23688550107471,27.0107004029169,-4
1,1,0.25,sequential,coordinated,-0.274838446572062,-16.4512451137915,-25.3342467026355,76
1,1,0.25,sequential,delayed_coordination,0.0807072381257683,0.0205730962169355,-0.0486114225882375,11
1,1,0.25,coordinated,delayed_coordination,0.35554568469783,16.4718182100084,25.2856352800472,-65
1,1,0.5,early_mover,sequential,-0.836902678597639,32.6248475357381,150.96935963576,-146
1,1,0.5,early_mover,coordinated,5.04217810815047,-11.8804407632494,1.77132999586024,-19
1,1,0.5,early_mover,delayed_coordination,-0.259841507593435,24.2252357234388,116.78152788067,-202
1,1,0.5,sequential,coordinated,5.8790807867481,-44.5052882989875,-149.1980296399,127
1,1,0.5,sequential,delayed_coordination,0.577061171004203,-8.39961181229933,-34.18783175509,-56
1,1,0.5,coordinated,delayed_coordination,-5.3020196157439,36.1056764866882,115.01019788481,-183
1,1,0.75,early_mover,sequential,6.09501608348108,17.9843409460753,67.5451276214976,26
1,1,0.75,early_mover,coordinated,19.2807892215289,-9.00357294985997,-155.024259107207,749
1,1,0.75,early_mover,delayed_coordination,5.39548477132325,17.20415290573,70.3461460498979,68
1,1,0.75,sequential,coordinated,13.1857731380478,-26.9879138959352,-222.569386728705,723
1,1,0.75,sequential,delayed_coordination,-0.699531312157831,-0.780188040345308,2.80101842840031,42
1,1,0.75,coordinated,delayed_coordination,-13.8853044502056,26.2077258555899,225.370405157105,-681
2,2,0.25,early_mover,sequential,-0.145062322615601,1.59443683236657,21.0959920990053,-40
2,2,0.25,early_mover,coordinated,1.92651708757884,-2.07730625852241,-4.34968619542542,24
2,2,0.25,early_mover,delayed_coordination,0.90968597198021,0.816275118940212,10.9789010047311,10
2,2,0.25,sequential,coordinated,2.07157941019445,-3.67174309088898,-25.4456782944308,64
2,2,0.25,sequential,delayed_coordination,1.05474829459581,-0.778161713426357,-10.1170910942742,50
2,2,0.25,coordinated,delayed_coordination,-1.01683111559863,2.89358137746262,15.3285872001566,-14
2,2,0.5,early_mover,sequential,2.80470501725577,9.43908809555546,58.3131629856739,-34
2,2,0.5,early_mover,coordinated,3.03053891826598,6.43077498943555,51.2659951821981,12
2,2,0.5,early_mover,delayed_coordination,3.11658150212884,-3.84292164897636,35.9835150772183,-51
2,2,0.5,sequential,coordinated,0.225833901010205,-3.00831310611991,-7.04716780347576,46
2,2,0.5,sequential,delayed_coordination,0.311876484873068,-13.2820097445318,-22.3296479084556,-17
2,2,0.5,coordinated,delayed_coordination,0.0860425838628629,-10.2736966384119,-15.2824801049799,-63
2,2,0.75,early_mover,sequential,12.9936522798358,-18.3545743997661,-42.0453171717934,572
2,2,0.75,early_mover,coordinated,3.14710769191873,18.6832426291789,56.4769860104698,-323
2,2,0.75,early_mover,delayed_coordination,9.88337519782074,-3.01250671594585,5.04982967689102,353
2,2,0.75,sequential,coordinated,-9.84654458791704,37.037817028945,98.5223031822632,-895
2,2,0.75,sequential,delayed_coordination,-3.11027708201503,15.3420676838203,47.0951468486844,-219
2,2,0.75,coordinated,delayed_coordination,6.73626750590201,-21.6957493451247,-51.4271563335788,676
3,3,0.25,early_mover,sequential,0.877535023210797,4.9871081167513,36.6859696551869,-46
3,3,0.25,early_mover,coordinated,0.976882332973688,6.31184183012823,16.6412453179473,-35
3,3,0.25,early_mover,delayed_coordination,0.924698425278351,2.28734995387669,25.3300093455973,-26
3,3,0.25,sequential,coordinated,0.0993473097628907,1.32473371337693,-20.0447243372396,11
3,3,0.25,sequential,delayed_coordination,0.0471634020675538,-2.69975816287462,-11.3559603095896,20
3,3,0.25,coordinated,delayed_coordination,-0.052183907695337,-4.02449187625155,8.68876402765,9
3,3,0.5,early_mover,sequential,0.560606993535231,18.9429630991922,79.1791671084034,-62
3,3,0.5,early_mover,coordinated,3.84749350497773,3.69545998908353,59.9383851463863,-104
3,3,0.5,early_mover,delayed_coordination,-1.99729776551291,19.3337142876566,147.99202677438,-206
3,3,0.5,sequential,coordinated,3.2868865114425,-15.2475031101087,-19.2407819620171,-42
3,3,0.5,sequential,delayed_coordination,-2.55790475904814,0.390751188464321,68.8128596659769,-144
3,3,0.5,coordinated,delayed_coordination,-5.84479127049065,15.638254298573,88.053641627994,-102
3,3,0.75,early_mover,sequential,5.00711197705331,9.3380685224476,39.8769675473015,113
3,3,0.75,early_mover,coordinated,16.2076382308429,-18.5806516470021,-67.4615936013615,555
3,3,0.75,early_mover,delayed_coordination,4.73514852910762,3.97958684804615,62.6756738716501,86
3,3,0.75,sequential,coordinated,11.2005262537896,-27.9187201694497,-107.338561148663,442
3,3,0.75,sequential,delayed_coordination,-0.271963447945694,-5.35848167440145,22.7987063243486,-27
3,3,0.75,coordinated,delayed_coordination,-11.4724897017353,22.5602384950482,130.137267473012,-469
4,4,0.25,early_mover,sequential,2.39131885236101,0.811878936719722,17.2482548240318,56
4,4,0.25,early_mover,coordinated,1.91009621925016,-17.5632532311425,0.114797426668702,95
4,4,0.25,early_mover,delayed_coordination,0.536256072209497,2.78243467379866,64.9862247119718,-62
4,4,0.25,sequential,coordinated,-0.481222633110846,-18.3751321678623,-17.1334573973631,39
4,4,0.25,sequential,delayed_coordination,-1.85506278015151,1.97055573707894,47.7379698879399,-118
4,4,0.25,coordinated,delayed_coordination,-1.37384014704067,20.3456879049412,64.8714272853031,-157
4,4,0.5,early_mover,sequential,3.58317040953293,-7.14696868657566,20.2225458162677,50
4,4,0.5,early_mover,coordinated,7.64009042972954,-47.0008834988551,-109.375605606315,300
4,4,0.5,early_mover,delayed_coordination,2.63766103049853,10.6265287901364,55.4950883781564,-149
4,4,0.5,sequential,coordinated,4.05692002019661,-39.8539148122794,-129.598151422583,250
4,4,0.5,sequential,delayed_coordination,-0.945509379034391,17.773497476712,35.2725425618887,-199
4,4,0.5,coordinated,delayed_coordination,-5.002429399231,57.6274122889915,164.870693984471,-449
4,4,0.75,early_mover,sequential,5.73258925868552,57.4470170706899,157.472086401173,-205
4,4,0.75,early_mover,coordinated,-0.0970596707220039,77.751772788552,181.145952752342,-685
4,4,0.75,early_mover,delayed_coordination,3.62402530889814,67.0432036973891,186.103716878658,-264
4,4,0.75,sequential,coordinated,-5.82964892940753,20.3047557178622,23.6738663511696,-480
4,4,0.75,sequential,delayed_coordination,-2.10856394978738,9.59618662669922,28.631630477485,-59
4,4,0.75,coordinated,delayed_coordination,3.72108497962014,-10.7085690911629,4.9577641263154,421
5,5,0.25,early_mover,sequential,0.552259254736711,9.29757328729193,13.1568321186191,-23
5,5,0.25,early_mover,coordinated,3.49950376619051,7.05274460342275,-24.9532962934463,4
5,5,0.25,early_mover,delayed_coordination,2.48757539254936,7.96499195954522,5.96942332316621,16
5,5,0.25,sequential,coordinated,2.9472445114538,-2.24482868386917,-38.1101284120655,27
5,5,0.25,sequential,delayed_coordination,1.93531613781265,-1.33258132774671,-7.18740879545294,39
5,5,0.25,coordinated,delayed_coordination,-1.01192837364115,0.912247356122464,30.9227196166125,12
5,5,0.5,early_mover,sequential,6.33667460863079,-5.06110253673711,-50.264690333493,168
5,5,0.5,early_mover,coordinated,8.19070112160142,-29.8477603240081,-115.205160316154,369
5,5,0.5,early_mover,delayed_coordination,5.06282270647074,-18.8356396548776,-57.4685984688522,196
5,5,0.5,sequential,coordinated,1.85402651297063,-24.786657787271,-64.9404699826609,201
5,5,0.5,sequential,delayed_coordination,-1.27385190216005,-13.7745371181405,-7.20390813535914,28
5,5,0.5,coordinated,delayed_coordination,-3.12787841513068,11.0121206691305,57.7365618473018,-173
