replication,seed,policyPenalty,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
1,1,0.25,baseline,Baseline,128.471467322935,347.561400246829,2344.74238495496,106,2649,1144,1505
1,1,0.25,early_mover,Early Mover,117.233869567616,307.561420014517,2201.88639662541,142,2926,1384,1542
1,1,0.25,sequential,Sequential,115.30287469529,303.971706385298,2185.92259297852,139,2928,1366,1562
1,1,0.25,coordinated,Coordinated,112.867713530051,308.17637660561,2276.40442714834,110,2646,1249,1397
1,1,0.25,delayed_coordination,Delayed Coordination,115.482825597183,297.125204797094,2204.27397659456,137,2895,1348,1547
1,1,0.5,baseline,Baseline,128.471467322935,347.561400246829,2344.74238495496,106,2649,1144,1505
1,1,0.5,early_mover,Early Mover,119.201450349082,243.327853509376,1802.08805291328,210,4141,1670,2471
1,1,0.5,sequential,Sequential,114.965090592667,239.544305724848,1789.50687815374,205,4045,1659,2386
1,1,0.5,coordinated,Coordinated,114.284262123457,242.899123623852,1867.31446223304,192,3917,1635,2282
1,1,0.5,delayed_coordination,Delayed Coordination,115.840579827431,233.815861461161,1777.52528880757,215,4168,1679,2489
1,1,0.75,baseline,Baseline,128.471467322935,347.561400246829,2344.74238495496,106,2649,1144,1505
1,1,0.75,early_mover,Early Mover,132.106102450268,210.698931148145,1460.43370885372,251,4940,1183,3757
1,1,0.75,sequential,Sequential,128.161451909561,205.434254978806,1396.74830979392,248,4955,1211,3744
1,1,0.75,coordinated,Coordinated,120.663220904889,225.266975234625,1474.47848216319,220,4730,1330,3400
1,1,0.75,delayed_coordination,Delayed Coordination,128.113340462932,202.951203573306,1405.9410648669,263,5008,1203,3805
2,2,0.25,baseline,Baseline,128.505671243792,340.75141935332,2288.56803367606,120,2889,1184,1705
2,2,0.25,early_mover,Early Mover,114.42441287235,336.907605979269,2203.53582519403,137,3115,1384,1731
2,2,0.25,sequential,Sequential,112.763736802864,329.21331376032,2197.14905785976,135,3081,1367,1714
