replication,policy_penalty,lowest_risk_scenario,lowest_final_risk
1,0.25,delayed_coordination,342.621073417754
1,0.5,sequential,244.232515342964
1,0.75,sequential,214.771899729824
2,0.25,sequential,339.667238095625
2,0.5,sequential,248.414320038528
2,0.75,coordinated,210.92392655076
3,0.25,coordinated,389.532840829848
3,0.5,delayed_coordination,277.039505705663
3,0.75,sequential,210.793175815655
4,0.25,delayed_coordination,353.068040251878
4,0.5,delayed_coordination,241.929156999902
4,0.75,coordinated,205.140829256651
5,0.25,sequential,343.923620592145
5,0.5,early_mover,275.995270092931
5,0.75,coordinated,225.022930238293
6,0.25,coordinated,320.862669230275
6,0.5,delayed_coordination,247.560838443848
6,0.75,delayed_coordination,198.759552801304
7,0.25,coordinated,315.446318747808
7,0.5,coordinated,238.468990244378
7,0.75,delayed_coordination,210.770016563466
8,0.25,delayed_coordination,320.870013646006
8,0.5,delayed_coordination,229.822180146449
8,0.75,delayed_coordination,219.451786617635
9,0.25,coordinated,344.299444964006
9,0.5,delayed_coordination,259.289461261696
9,0.75,delayed_coordination,202.737010936444
10,0.25,sequential,328.78166755602
10,0.5,sequential,256.047833224991
10,0.75,coordinated,221.759236755822
11,0.25,sequential,324.575067429235
11,0.5,delayed_coordination,258.06742376554
11,0.75,delayed_coordination,205.654896967305
12,0.25,coordinated,311.652080777258
12,0.5,delayed_coordination,225.895532715774
12,0.75,sequential,214.143992907451
13,0.25,coordinated,345.002452435154
13,0.5,sequential,239.166262779787
13,0.75,delayed_coordination,206.351289883955
14,0.25,delayed_coordination,336.29650657962
14,0.5,coordinated,239.966326459186
14,0.75,delayed_coordination,193.164387666844
15,0.25,sequential,325.914932038102
15,0.5,delayed_coordination,233.862223462918
15,0.75,delayed_coordination,201.757164098709
16,0.25,sequential,314.936388327732
16,0.5,delayed_coordination,244.903789352344
16,0.75,delayed_coordination,193.451743842687
17,0.25,delayed_coordination,344.279566284795
17,0.5,delayed_coordination,244.594672163343
17,0.75,delayed_coordination,202.682081841597
18,0.25,sequential,299.604889211672
18,0.5,delayed_coordination,232.6263173716
18,0.75,delayed_coordination,219.934108628537
19,0.25,sequential,329.152636516629
19,0.5,coordinated,248.364990738939
19,0.75,delayed_coordination,190.863008297043
20,0.25,delayed_coordination,321.608595789297
20,0.5,early_mover,239.588289406905
20,0.75,sequential,201.059769978491
21,0.25,early_mover,365.627457425928
21,0.5,coordinated,275.181757246019
21,0.75,coordinated,223.991293835232
22,0.25,sequential,337.392282759249
22,0.5,delayed_coordination,242.936026985303
22,0.75,delayed_coordination,223.105892099353
23,0.25,coordinated,356.570268520502
23,0.5,sequential,248.968470540011
23,0.75,coordinated,224.419072454193
24,0.25,delayed_coordination,308.865975554721
24,0.5,delayed_coordination,220.573103991188
24,0.75,delayed_coordination,210.229803882199
25,0.25,sequential,297.698232721312
25,0.5,early_mover,242.74650289454
25,0.75,delayed_coordination,199.031906906615
26,0.25,coordinated,365.187296809432
26,0.5,delayed_coordination,259.134875224235
26,0.75,sequential,203.996267933322
27,0.25,sequential,326.148480639501
27,0.5,sequential,222.486083379042
27,0.75,delayed_coordination,189.988207447856
28,0.25,coordinated,322.839903828674
28,0.5,delayed_coordination,238.387391703469
28,0.75,delayed_coordination,220.849303098532
29,0.25,delayed_coordination,335.319954952103
29,0.5,coordinated,243.583476351812
29,0.75,coordinated,195.539342192495
30,0.25,sequential,303.495637569896
30,0.5,coordinated,234.784855554986
30,0.75,delayed_coordination,213.469731622769
31,0.25,sequential,349.444549303142
31,0.5,delayed_coordination,256.996811148948
31,0.75,sequential,213.195866892089
32,0.25,coordinated,351.865415761647
32,0.5,delayed_coordination,255.547368523813
32,0.75,sequential,216.571348716293
33,0.25,delayed_coordination,330.268211927207
33,0.5,sequential,249.118615986281
33,0.75,delayed_coordination,218.035146023472
34,0.25,delayed_coordination,340.760376755482
34,0.5,coordinated,224.294586238702
34,0.75,coordinated,203.461721660983
35,0.25,delayed_coordination,295.842419054538
35,0.5,sequential,233.785882690197
35,0.75,early_mover,193.955665300913
36,0.25,sequential,327.077154171079
36,0.5,delayed_coordination,247.128080847031
36,0.75,early_mover,234.97738102886
37,0.25,sequential,346.842543858848
37,0.5,sequential,263.222249280135
37,0.75,sequential,195.525138369506
38,0.25,sequential,351.608419391655
38,0.5,delayed_coordination,293.520116198464
38,0.75,coordinated,266.902225505833
39,0.25,coordinated,308.500449008016
39,0.5,delayed_coordination,221.598702585887
39,0.75,delayed_coordination,186.104862333392
40,0.25,coordinated,348.225194413045
40,0.5,delayed_coordination,246.451859214319
40,0.75,delayed_coordination,203.686978627786
41,0.25,delayed_coordination,338.458203391231
41,0.5,delayed_coordination,254.126049837351
41,0.75,delayed_coordination,201.824087741379
42,0.25,early_mover,351.364934504304
42,0.5,early_mover,253.376209787905
42,0.75,sequential,187.624467882916
43,0.25,sequential,312.49724533917
43,0.5,sequential,238.421491821186
43,0.75,coordinated,194.170421258252
44,0.25,coordinated,339.850791714639
44,0.5,coordinated,257.963832083336
44,0.75,coordinated,205.743225058658
45,0.25,sequential,346.360875278793
45,0.5,delayed_coordination,256.701461859219
45,0.75,coordinated,285.324420139792
46,0.25,sequential,327.419099781886
46,0.5,sequential,255.875952752415
46,0.75,delayed_coordination,213.058935986771
47,0.25,delayed_coordination,307.292771333475
47,0.5,early_mover,218.884634912414
47,0.75,sequential,201.948475834173
48,0.25,sequential,343.322543761899
48,0.5,delayed_coordination,265.556975137101
48,0.75,delayed_coordination,212.247578354779
49,0.25,delayed_coordination,294.131009414134
49,0.5,coordinated,260.135717756227
49,0.75,sequential,204.502229921428
50,0.25,coordinated,318.201647297443
50,0.5,delayed_coordination,229.332562238895
50,0.75,coordinated,210.1694002032
51,0.25,delayed_coordination,314.824093617108
51,0.5,coordinated,216.085908535556
51,0.75,delayed_coordination,227.466243323344
52,0.25,sequential,355.192360445255
52,0.5,early_mover,266.316376094104
52,0.75,sequential,210.777722132058
53,0.25,delayed_coordination,307.816874733972
53,0.5,sequential,223.714161652761
53,0.75,sequential,192.123531376811
54,0.25,coordinated,326.168336146705
54,0.5,sequential,237.566073085591
54,0.75,delayed_coordination,209.034007194089
55,0.25,coordinated,327.032818832934
55,0.5,delayed_coordination,231.056643659542
55,0.75,delayed_coordination,172.730777376842
56,0.25,sequential,348.362298026625
56,0.5,sequential,307.471100420889
56,0.75,delayed_coordination,227.30173089145
57,0.25,sequential,349.151473681222
57,0.5,coordinated,248.401730422892
57,0.75,delayed_coordination,231.339390776167
58,0.25,delayed_coordination,313.23465818144
58,0.5,sequential,215.635157961391
58,0.75,coordinated,192.054854375281
59,0.25,coordinated,299.92185050328
59,0.5,sequential,215.695518544416
59,0.75,sequential,197.098891779624
60,0.25,sequential,333.698211890189
60,0.5,sequential,240.58929903968
60,0.75,early_mover,234.360853867991
61,0.25,coordinated,315.759485995672
61,0.5,sequential,213.897202291304
61,0.75,early_mover,212.444403879235
62,0.25,sequential,326.251565164489
62,0.5,delayed_coordination,241.712116627199
62,0.75,coordinated,201.025413918363
63,0.25,coordinated,322.65278658034
63,0.5,delayed_coordination,224.672695843958
63,0.75,delayed_coordination,196.529694096708
64,0.25,coordinated,316.89482208446
64,0.5,delayed_coordination,257.611496833967
64,0.75,sequential,232.108240620819
65,0.25,coordinated,345.299281624369
65,0.5,delayed_coordination,225.244075690062
65,0.75,delayed_coordination,242.170574057045
66,0.25,early_mover,310.081002682088
66,0.5,sequential,201.687375357161
66,0.75,delayed_coordination,211.612002029288
67,0.25,sequential,332.296188561748
67,0.5,delayed_coordination,252.442424385809
67,0.75,coordinated,203.036733837384
68,0.25,sequential,325.152553281645
68,0.5,sequential,231.247553663818
68,0.75,sequential,190.251128812853
69,0.25,delayed_coordination,309.872784189781
69,0.5,delayed_coordination,213.598536683638
69,0.75,coordinated,221.253921110539
70,0.25,coordinated,319.406247908319
70,0.5,sequential,240.744727142788
70,0.75,delayed_coordination,191.565360144996
71,0.25,early_mover,311.723964948963
71,0.5,sequential,240.337068098671
71,0.75,sequential,209.493781224852
72,0.25,delayed_coordination,337.655615856373
72,0.5,delayed_coordination,230.91427920271
72,0.75,early_mover,220.540321262883
73,0.25,delayed_coordination,344.198457990847
73,0.5,sequential,292.988455391795
73,0.75,delayed_coordination,203.818026701086
74,0.25,sequential,329.59532975177
74,0.5,delayed_coordination,258.815196512895
74,0.75,sequential,208.778337584712
75,0.25,coordinated,353.156618111391
75,0.5,coordinated,250.928504971317
75,0.75,sequential,225.219753929211
76,0.25,delayed_coordination,338.111369627264
76,0.5,sequential,236.633642546891
76,0.75,delayed_coordination,198.265784624394
77,0.25,early_mover,336.205584125363
77,0.5,sequential,261.121181591774
77,0.75,early_mover,210.254961121741
78,0.25,delayed_coordination,339.915078538801
78,0.5,sequential,263.891327925144
78,0.75,delayed_coordination,210.289943572787
79,0.25,sequential,341.077472015903
79,0.5,sequential,236.435046127864
79,0.75,early_mover,204.574568905615
80,0.25,delayed_coordination,346.918139017753
80,0.5,sequential,218.288763650782
80,0.75,delayed_coordination,198.824330872784
81,0.25,sequential,343.685866496809
81,0.5,sequential,227.923811916192
81,0.75,sequential,191.29714272348
