recoveryHorizon,scenarioID,scenarioName,GroupCount,mean_finalFitness,std_finalFitness,median_finalFitness,min_finalFitness,max_finalFitness,mean_finalRisk,std_finalRisk,median_finalRisk,min_finalRisk,max_finalRisk,mean_finalTrade,std_finalTrade,median_finalTrade,min_finalTrade,max_finalTrade,mean_finalRecoveringLinks,std_finalRecoveringLinks,median_finalRecoveringLinks,min_finalRecoveringLinks,max_finalRecoveringLinks,mean_totalSwitches,std_totalSwitches,median_totalSwitches,min_totalSwitches,max_totalSwitches,mean_localSwitches,std_localSwitches,median_localSwitches,min_localSwitches,max_localSwitches,mean_globalSwitches,std_globalSwitches,median_globalSwitches,min_globalSwitches,max_globalSwitches
3,baseline,Baseline,100,127.040046129388,1.55753291062775,126.853813406054,122.732919913989,130.63083963401,338.223048616453,15.8355051087966,339.617407548251,305.424331378716,372.44468099034,2291.99444674193,61.5348131040956,2292.92981771873,2164.18123897273,2486.37155128824,117.52,12.2676218336948,117,81,148,2904.13,216.582391768681,2889,2249,3443,1089.08,90.1105583562366,1091.5,883,1320,1815.05,233.218386188923,1774,1228,2489
3,coordinated,Coordinated,100,116.527232258947,4.66798677571443,116.703367655888,105.336917677926,128.610142376127,249.060407507939,19.6738420707856,248.273786400193,205.147295139941,313.861364284768,1688.85438845341,93.8346293618848,1681.89136604503,1487.91704855428,1889.49682711061,240.71,27.3740624118762,243,175,293,4647.14,362.433470592964,4664,3854,5413,1666.59,108.94184297833,1666,1399,1950,2980.55,319.570525404128,2988.5,2318,3740
3,delayed_coordination,Delayed Coordination,100,118.451407397746,4.63079091082436,118.366841988784,107.740016024296,129.369915780137,241.575933686091,18.0225430093979,240.859105126964,205.396477237048,299.696899331786,1648.56049076054,83.8122942450064,1634.46363774156,1459.15126600804,1878.45295372999,246.62,26.7679063073825,251.5,162,292,4727.69,328.564637645488,4788,3813,5345,1678.42,102.453949251221,1683.5,1467,1927,3049.27,299.786922815037,3106,2280,3714
3,early_mover,Early Mover,100,120.39561746626,4.37755847676601,120.101112115306,111.368763522442,129.316326630033,249.329433032243,18.0560087687992,249.272345090882,208.039674167511,310.677325523786,1696.52731534024,85.3918614992491,1680.32648404636,1496.59185790719,1906.74694830959,242.37,23.954778524157,245,168,283,4691.25,338.605320589197,4738,3858,5341,1656.04,106.66713257474,1656.5,1412,1898,3035.21,320.006638030898,3058,2314,3712
3,sequential,Sequential,100,117.941795118313,4.40155866762493,117.898480396431,108.259629875857,129.328318719806,242.560877811108,17.6381204709854,242.263592467681,206.060411488716,302.629368426247,1653.93053104134,84.5048407600399,1638.0277383212,1442.79127599237,1881.15681751405,246.13,25.07912931648,250.5,175,299,4708.02,332.778052039482,4756,3867,5314,1691.47,106.955428741947,1688,1450,1925,3016.55,306.541422876899,3061.5,2332,3694
5,baseline,Baseline,100,127.114075521689,1.46395798809435,126.93032501104,123.845704012393,130.7030572918,337.570300399783,15.236749717767,337.525745531532,302.559492566228,378.854960264567,2289.27192273151,62.5669519239417,2286.52050231041,2138.38943931166,2467.09032458123,119.67,13.0050922427495,122,84,149,2884.05,214.560550423371,2894,2240,3428,1080.85,87.0176314422438,1080,893,1323,1803.2,230.682562072742,1782,1240,2476
5,coordinated,Coordinated,100,117.63362493107,4.46734784017111,117.251277277218,106.811675251637,128.451634535954,244.750495431203,18.4581032990419,243.747964760696,206.029557572425,308.576083527864,1670.77262196593,88.2647603547415,1662.81139749634,1510.90429480214,1901.75095353901,248.73,26.5139014423938,250.5,180,303,4680.73,353.220503854794,4694.5,3872,5348,1677.73,101.619497751329,1687.5,1448,1872,3003,307.965038026177,3047,2282,3602
5,delayed_coordination,Delayed Coordination,100,119.684348128531,4.47709575877569,119.889423004776,107.991279296156,129.726214881408,239.130282868725,18.8097426570453,239.101400642954,188.533903235838,305.012121704474,1622.74248460315,86.5285472507223,1615.11549205368,1463.34124581778,1901.55488185431,257.76,23.9663568909891,260,202,301,4797.15,326.494616875202,4793,3802,5509,1692.59,101.102018183655,1690.5,1385,1930,3104.56,293.175312808572,3124.5,2417,3755
5,early_mover,Early Mover,100,121.895308303346,4.24710797987172,121.703228215124,109.947449266301,133.426529236322,246.082246382807,18.9802325572746,245.466580716365,198.624724137838,318.704196041617,1668.94822156501,87.2128665900559,1661.99634347834,1508.13925474685,1952.2858921509,251.74,21.7035211033332,255,203,299,4775.44,331.304563106749,4790,3763,5569,1670.37,98.3415666815093,1664.5,1392,1842,3105.07,307.004236308086,3115.5,2290,3835
5,sequential,Sequential,100,119.353518205299,4.25194221880727,119.62991400787,108.899927917466,127.879967594918,239.6416054593,17.4833760208685,237.878657326523,192.206132692016,307.449494927205,1627.44247054045,82.4524528722448,1624.50156605821,1479.28537221778,1860.97635011817,257.21,23.4285050416122,258,192,304,4769.42,319.588819794081,4758.5,3793,5520,1701.53,98.6033227255819,1700.5,1344,1876,3067.89,286.776578471109,3084.5,2283,3716
