replication,seed,recovery_horizon,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
1,1,3,baseline,Baseline,0,0,0,0,0
1,1,3,early_mover,Early Mover,-7.13657803311881,-77.2192841979699,-600.883370583508,129,1753
1,1,3,sequential,Sequential,-14.5615119055858,-89.0017700617573,-624.596969549858,130,1631
1,1,3,coordinated,Coordinated,-2.02052010923146,-129.76354338457,-840.161480402869,177,2343
1,1,3,delayed_coordination,Delayed Coordination,-5.58620346816252,-115.870011582997,-788.473015101071,156,1984
1,1,5,baseline,Baseline,0,0,0,0,0
1,1,5,early_mover,Early Mover,-1.09699026825614,-112.048325973861,-719.329318235488,146,1935
1,1,5,sequential,Sequential,-0.260087589658497,-144.673173509599,-870.298677871248,168,2081
1,1,5,coordinated,Coordinated,-6.1391683764066,-100.167885210611,-721.100648231348,130,1954
1,1,5,delayed_coordination,Delayed Coordination,-0.8371487606627,-136.2735616973,-836.110846116158,166,2137
1,1,7,baseline,Baseline,0,0,0,0,0
1,1,7,early_mover,Early Mover,-1.89395596640011,-96.0130111422837,-710.077553766501,135,2032
1,1,7,sequential,Sequential,-5.06423673559556,-113.7899733547,-803.107221413904,161,2136
1,1,7,coordinated,Coordinated,-2.74930869471989,-115.416151753011,-821.257646917737,165,2210
1,1,7,delayed_coordination,Delayed Coordination,-2.53043047517696,-123.596525318139,-817.491128952245,157,2180
2,2,3,baseline,Baseline,0,0,0,0,0
2,2,3,early_mover,Early Mover,1.18274642369084,-136.283194234671,-889.58740942638,178,2628
2,2,3,sequential,Sequential,0.65511861008838,-150.049038369838,-971.691225387333,187,2633
2,2,3,coordinated,Coordinated,-3.69418755345411,-142.374603980724,-883.691335308466,171,2459
2,2,3,delayed_coordination,Delayed Coordination,-1.96535395299659,-142.451011087857,-918.250071557849,161,2575
2,2,5,baseline,Baseline,0,0,0,0,0
2,2,5,early_mover,Early Mover,2.07603876290024,-135.358907594206,-866.283837011395,178,2535
2,2,5,sequential,Sequential,-0.728666254355531,-144.797995689762,-924.596999997069,197,2569
2,2,5,coordinated,Coordinated,-0.954500155365736,-141.789682583642,-917.549832193594,171,2523
2,2,5,delayed_coordination,Delayed Coordination,-1.0405427392286,-131.51598594523,-902.267352088614,182,2586
2,2,7,baseline,Baseline,0,0,0,0,0
2,2,7,early_mover,Early Mover,-2.11522812922554,-127.281383030093,-800.205688484019,142,2090
2,2,7,sequential,Sequential,-5.30839759527825,-135.159609589154,-847.90937089627,154,2041
2,2,7,coordinated,Coordinated,-6.75511485517549,-129.64323400677,-776.321486262534,140,2032
2,2,7,delayed_coordination,Delayed Coordination,-4.68035996856111,-126.340430805868,-856.092235901495,157,2104
3,3,3,baseline,Baseline,0,0,0,0,0
3,3,3,early_mover,Early Mover,-0.927866717113744,-121.687630565248,-798.412176258793,154,2160
3,3,3,sequential,Sequential,-4.51530835384334,-128.075839766648,-805.985395044325,146,2093
3,3,3,coordinated,Coordinated,-7.06233285458018,-124.823205921072,-797.674814009597,156,2166
3,3,3,delayed_coordination,Delayed Coordination,-0.938510661795306,-137.945301511778,-867.391366152679,157,2255
3,3,5,baseline,Baseline,0,0,0,0,0
3,3,5,early_mover,Early Mover,-2.42123909443592,-116.788751125301,-757.173500848621,152,2128
3,3,5,sequential,Sequential,-2.98184608797115,-135.731714224493,-836.352667957025,173,2190
3,3,5,coordinated,Coordinated,-6.26873259941365,-120.484211114384,-817.111885995007,161,2232
3,3,5,delayed_coordination,Delayed Coordination,-0.423941328923007,-136.122465412957,-905.165527623001,185,2334
3,3,7,baseline,Baseline,0,0,0,0,0
3,3,7,early_mover,Early Mover,-2.44249149454473,-118.096944751454,-796.601287771158,165,2143
3,3,7,sequential,Sequential,-4.29907687914623,-140.683115492609,-837.172103936111,170,2115
3,3,7,coordinated,Coordinated,-4.04039778072347,-136.114294932081,-902.633282402309,190,2310
3,3,7,delayed_coordination,Delayed Coordination,-1.74264847571864,-143.515537410565,-893.147197006986,177,2251
4,4,3,baseline,Baseline,0,0,0,0,0
4,4,3,early_mover,Early Mover,0.766629210453402,-108.90642927807,-852.161746086068,164,2339
4,4,3,sequential,Sequential,-2.2582830400204,-108.444442192939,-886.073411298027,166,2241
4,4,3,coordinated,Coordinated,-2.22995627850027,-115.240869028276,-906.960461508438,169,2288
4,4,3,delayed_coordination,Delayed Coordination,-1.96247768443378,-112.577647836892,-898.371697584333,166,2315
4,4,5,baseline,Baseline,0,0,0,0,0
4,4,5,early_mover,Early Mover,2.63385909109103,-135.666466654058,-929.776815591262,169,2480
4,4,5,sequential,Sequential,-0.9493113184419,-128.519497967483,-949.999361407529,181,2430
4,4,5,coordinated,Coordinated,-5.00623133863851,-88.6655831552032,-820.401209984947,154,2180
4,4,5,delayed_coordination,Delayed Coordination,-0.00380193940750928,-146.292995444195,-985.271903969418,186,2629
4,4,7,baseline,Baseline,0,0,0,0,0
4,4,7,early_mover,Early Mover,-1.22119266784456,-115.112116168359,-828.711721043715,165,2140
4,4,7,sequential,Sequential,-0.192100836694578,-136.632255571736,-975.891934817078,202,2377
4,4,7,coordinated,Coordinated,-3.76966339955062,-97.9920314796061,-854.975911062489,159,2133
4,4,7,delayed_coordination,Delayed Coordination,0.0839765707246301,-136.267473302394,-969.619100149922,197,2231
5,5,3,baseline,Baseline,0,0,0,0,0
5,5,3,early_mover,Early Mover,-1.46959540197011,-109.527968051278,-728.895120272558,144,2050
5,5,3,sequential,Sequential,-4.21373992815386,-102.01202522454,-735.367843306842,131,1944
5,5,3,coordinated,Coordinated,-12.3023744472069,-85.796489788452,-560.571634635106,92,1470
5,5,3,delayed_coordination,Delayed Coordination,-4.21650167845402,-108.273199783526,-730.918539738287,140,2036
5,5,5,baseline,Baseline,0,0,0,0,0
5,5,5,early_mover,Early Mover,-4.10385304748682,-99.7578025010694,-649.800695423177,130,1635
5,5,5,sequential,Sequential,-10.4405276561176,-94.6966999643323,-599.536005089684,121,1467
5,5,5,coordinated,Coordinated,-12.2945541690882,-69.9100421770613,-534.595535107023,77,1266
5,5,5,delayed_coordination,Delayed Coordination,-9.16667575395756,-80.9221628461918,-592.332096954325,106,1439
5,5,7,baseline,Baseline,0,0,0,0,0
5,5,7,early_mover,Early Mover,-2.34075177980381,-101.795798765931,-655.044841406076,126,1819
5,5,7,sequential,Sequential,-9.47306559816587,-96.1718187445878,-612.97275334195,127,1638
5,5,7,coordinated,Coordinated,-10.9735890995604,-78.5866083945342,-586.487206208878,117,1517
5,5,7,delayed_coordination,Delayed Coordination,-1.73499766696003,-116.47473838004,-729.911747165174,153,1884
6,6,3,baseline,Baseline,0,0,0,0,0
6,6,3,early_mover,Early Mover,-12.8032884115436,-71.4791314529822,-410.166499554361,62,803
6,6,3,sequential,Sequential,-18.7690493747502,-74.2803774027902,-422.673191226526,58,701
6,6,3,coordinated,Coordinated,-5.83469663855089,-101.602478681825,-686.010618008202,121,1889
6,6,3,delayed_coordination,Delayed Coordination,-20.5049832172821,-67.7831928432708,-380.08993981415,33,614
6,6,5,baseline,Baseline,0,0,0,0,0
6,6,5,early_mover,Early Mover,5.601712822962,-110.871191779456,-855.00622909541,178,2403
6,6,5,sequential,Sequential,3.59790414320837,-117.580496441727,-875.887044179789,171,2392
6,6,5,coordinated,Coordinated,0.197433801683601,-108.614538480308,-848.552651573345,148,2279
6,6,5,delayed_coordination,Delayed Coordination,3.26008581603323,-118.243673470811,-865.390394594147,168,2334
6,6,7,baseline,Baseline,0,0,0,0,0
6,6,7,early_mover,Early Mover,2.99929001356982,-118.159890218736,-800.922460362922,155,2209
6,6,7,sequential,Sequential,-0.867313360330371,-121.523245572929,-819.966201767721,150,2067
6,6,7,coordinated,Coordinated,-1.67732335569278,-117.465721230056,-798.078260872884,135,2114
6,6,7,delayed_coordination,Delayed Coordination,1.87601634793342,-127.683886942937,-859.482003802603,159,2277
7,7,3,baseline,Baseline,0,0,0,0,0
7,7,3,early_mover,Early Mover,-4.75810340186922,-105.54258954462,-684.71481067993,126,1828
7,7,3,sequential,Sequential,-7.69469931176511,-93.5262282662711,-685.912073740447,131,1805
7,7,3,coordinated,Coordinated,-12.0058304023146,-92.4096300280263,-618.807960630808,123,1676
7,7,3,delayed_coordination,Delayed Coordination,-8.9397395860174,-96.8813769773538,-675.197913062043,116,1753
7,7,5,baseline,Baseline,0,0,0,0,0
7,7,5,early_mover,Early Mover,-7.14289195115765,-76.9618628691239,-627.809627592225,103,1531
7,7,5,sequential,Sequential,-8.47188919648393,-83.2151474193165,-675.113396470993,122,1671
7,7,5,coordinated,Coordinated,-7.48026911033884,-96.9550639244599,-714.810535477656,134,1869
7,7,5,delayed_coordination,Delayed Coordination,-11.7106074905581,-75.4854884650994,-634.850890671952,106,1554
7,7,7,baseline,Baseline,0,0,0,0,0
7,7,7,early_mover,Early Mover,-3.31010101433067,-104.662841554966,-683.216019424904,151,1860
7,7,7,sequential,Sequential,-3.896889702577,-101.205834753312,-745.997586472942,151,1967
7,7,7,coordinated,Coordinated,-8.49046535307227,-97.0584962625367,-698.845109522721,145,1766
7,7,7,delayed_coordination,Delayed Coordination,-2.48564763460922,-110.331308697297,-772.534043434933,160,2039
8,8,3,baseline,Baseline,0,0,0,0,0
8,8,3,early_mover,Early Mover,-6.6274468265845,-112.210930095725,-699.952141644168,138,1915
