replication,seed,recovery_horizon,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
1,1,3,early_mover,sequential,3.78988575021292,17.2315765451229,18.3446132274375,179
1,1,3,early_mover,coordinated,2.57761281515701,14.2957208428905,20.3182949622849,-23
1,1,3,early_mover,delayed_coordination,6.16812577085567,3.26134032673991,-25.5024175701601,233
1,1,3,sequential,coordinated,-1.21227293505591,-2.9358557022324,1.97368173484733,-202
1,1,3,sequential,delayed_coordination,2.37824002064275,-13.970236218383,-43.8470307975977,54
1,1,3,coordinated,delayed_coordination,3.59051295569866,-11.0343805161506,-45.820712532445,256
1,1,5,early_mover,sequential,4.23635975641483,3.78354778452791,12.5811747595403,96
1,1,5,early_mover,coordinated,4.91718822562532,0.428729885523978,-65.2264093197537,224
1,1,5,early_mover,delayed_coordination,3.36087052165068,9.51199204821512,24.5627641057154,-27
1,1,5,sequential,coordinated,0.680828469210496,-3.35481789900393,-77.807584079294,128
1,1,5,sequential,delayed_coordination,-0.875489234764146,5.72844426368721,11.981589346175,-123
1,1,5,coordinated,delayed_coordination,-1.55631770397464,9.08326216269114,89.789173425469,-251
1,1,7,early_mover,sequential,3.64515564983985,7.82798360214952,21.6425913925227,170
1,1,7,early_mover,coordinated,7.48397671841957,3.09370729794537,-38.240186107816,255
1,1,7,early_mover,delayed_coordination,1.94150802736095,14.1745687791333,50.4854653342875,23
1,1,7,sequential,coordinated,3.83882106857972,-4.73427630420414,-59.8827775003388,85
1,1,7,sequential,delayed_coordination,-1.7036476224789,6.34658517698381,28.8428739417648,-147
1,1,7,coordinated,delayed_coordination,-5.54246869105862,11.080861481188,88.7256514421035,-232
2,2,3,early_mover,sequential,2.98806726591658,13.1877788328308,58.3329392231165,-67
2,2,3,early_mover,coordinated,3.23371097364529,-0.367396244118595,47.8311206559679,-90
2,2,3,early_mover,delayed_coordination,1.27609455862222,7.06620208053556,98.8816114393649,-113
2,2,3,sequential,coordinated,0.245643707728703,-13.5551750769494,-10.5018185671486,-23
2,2,3,sequential,delayed_coordination,-1.71197270729436,-6.12157675229528,40.5486722162484,-46
2,2,3,coordinated,delayed_coordination,-1.95761641502307,7.43359832465416,51.050490783397,-23
2,2,5,early_mover,sequential,2.71761569580015,2.34424387319703,57.130263569084,-101
2,2,5,early_mover,coordinated,4.114492320124,4.88295769943321,11.3137039742574,-147
2,2,5,early_mover,delayed_coordination,-0.139628870868449,11.3658776423693,94.6578751720613,-124
2,2,5,sequential,coordinated,1.39687662432385,2.53871382623618,-45.8165595948267,-46
2,2,5,sequential,delayed_coordination,-2.8572445666686,9.0216337691723,37.5276116029772,-23
2,2,5,coordinated,delayed_coordination,-4.25412119099245,6.48291994293612,83.3441711978039,23
2,2,7,early_mover,sequential,3.2076754979597,12.6250263833944,45.8134411226463,88
2,2,7,early_mover,coordinated,-3.55889465072413,31.7534254543293,181.745604626502,-504
2,2,7,early_mover,delayed_coordination,3.11043076290233,11.5228774816744,29.0006623488732,54
2,2,7,sequential,coordinated,-6.76657014868383,19.1283990709349,135.932163503855,-592
2,2,7,sequential,delayed_coordination,-0.0972447350573731,-1.10214890172006,-16.8127787737731,-34
2,2,7,coordinated,delayed_coordination,6.66932541362645,-20.2305479726549,-152.744942277629,558
3,3,3,early_mover,sequential,-2.14130766716414,26.8863447484478,163.295180722325,-275
3,3,3,early_mover,coordinated,2.28387503424588,19.0398340124641,61.3161105986585,-38
3,3,3,early_mover,delayed_coordination,-2.17405536863022,26.7056645253422,148.029051278775,-340
3,3,3,sequential,coordinated,4.42518270141002,-7.84651073598371,-101.979070123666,237
3,3,3,sequential,delayed_coordination,-0.0327477014660786,-0.180680223105639,-15.2661294435502,-65
3,3,3,coordinated,delayed_coordination,-4.4579304028761,7.66583051287807,86.7129406801162,-302
3,3,5,early_mover,sequential,0.286609657930015,6.52925262099603,91.3095420327222,-30
3,3,5,early_mover,coordinated,-1.28943624300926,5.20023858984263,78.5308473380164,-109
3,3,5,early_mover,delayed_coordination,2.24968110802288,-3.85777131311715,50.7310102965882,-39
3,3,5,sequential,coordinated,-1.57604590093928,-1.32901403115341,-12.7786946947058,-79
3,3,5,sequential,delayed_coordination,1.96307145009287,-10.3870239341132,-40.578531736134,-9
3,3,5,coordinated,delayed_coordination,3.53911735103215,-9.05800990295978,-27.7998370414282,70
3,3,7,early_mover,sequential,0.146939369704938,29.8180312153091,129.125366989246,-77
3,3,7,early_mover,coordinated,3.76307135266202,14.4633807914409,-6.79830297220497,65
3,3,7,early_mover,delayed_coordination,-1.71967932171654,32.2530011266634,146.274248696021,-176
3,3,7,sequential,coordinated,3.61613198295709,-15.3546504238682,-135.923669961451,142
3,3,7,sequential,delayed_coordination,-1.86661869142148,2.43496991135433,17.148881706775,-99
3,3,7,coordinated,delayed_coordination,-5.48275067437856,17.7896203352225,153.072551668226,-241
4,4,3,early_mover,sequential,2.26062459503312,2.24363703089742,-31.544664655655,209
4,4,3,early_mover,coordinated,2.70539155208299,22.4273136222588,-36.9875812149896,29
4,4,3,early_mover,delayed_coordination,2.57349991802549,-1.35303327569798,-12.558640317189,147
4,4,3,sequential,coordinated,0.444766957049865,20.1836765913614,-5.44291655933466,-180
4,4,3,sequential,delayed_coordination,0.312875322992369,-3.5966703065954,18.986024338466,-62
4,4,3,coordinated,delayed_coordination,-0.131891634057496,-23.7803468979568,24.4289408978007,118
4,4,5,early_mover,sequential,6.86078047979456,-24.7299727657763,-59.9784843708603,128
4,4,5,early_mover,coordinated,6.68573191534321,-9.28445897760767,-62.0016234942575,114
4,4,5,early_mover,delayed_coordination,2.55378840989101,2.16010606439232,38.9353058543873,-93
4,4,5,sequential,coordinated,-0.175048564451345,15.4455137881686,-2.02313912339719,-14
4,4,5,sequential,delayed_coordination,-4.30699206990354,26.8900788301686,98.9137902252476,-221
4,4,5,coordinated,delayed_coordination,-4.1319435054522,11.444565042,100.936929348645,-207
4,4,7,early_mover,sequential,2.25818706991488,6.82334619295793,40.8227767491042,14
