replication,recovery_horizon,lowest_risk_scenario,lowest_final_risk
1,3,coordinated,260.711413918247
1,5,sequential,244.232515342964
1,7,delayed_coordination,255.049576306458
2,3,sequential,243.278013597597
2,5,sequential,248.414320038528
2,7,sequential,256.052975237676
3,3,delayed_coordination,274.297497454234
3,5,delayed_coordination,277.039505705663
3,7,delayed_coordination,276.066621672659
4,3,coordinated,271.944744988353
4,5,delayed_coordination,241.929156999902
4,7,sequential,243.36247023207
5,3,early_mover,266.218892372214
5,5,early_mover,275.995270092931
5,7,delayed_coordination,259.022238299666
6,3,coordinated,256.036501860942
6,5,delayed_coordination,247.560838443848
6,7,delayed_coordination,238.119859832344
7,3,early_mover,233.479927651441
7,5,coordinated,238.468990244378
7,7,delayed_coordination,224.524313723443
8,3,coordinated,231.557311521762
8,5,delayed_coordination,229.822180146449
8,7,sequential,221.754667636879
9,3,delayed_coordination,251.426492791365
9,5,delayed_coordination,259.289461261696
9,7,coordinated,249.405129301505
10,3,coordinated,259.32511565674
10,5,sequential,256.047833224991
10,7,delayed_coordination,245.423133930322
11,3,sequential,250.89455037978
11,5,delayed_coordination,258.06742376554
11,7,delayed_coordination,246.078820557605
12,3,delayed_coordination,227.003103078397
12,5,delayed_coordination,225.895532715774
12,7,delayed_coordination,226.952276078305
13,3,coordinated,245.613131719149
13,5,sequential,239.166262779787
13,7,delayed_coordination,250.423186557798
14,3,sequential,233.187016273616
14,5,coordinated,239.966326459186
14,7,coordinated,240.33421849736
15,3,sequential,237.1750011398
15,5,delayed_coordination,233.862223462918
15,7,delayed_coordination,231.994728667594
16,3,delayed_coordination,240.614687998885
16,5,delayed_coordination,244.903789352344
16,7,sequential,242.29232298905
17,3,sequential,241.665861778539
17,5,delayed_coordination,244.594672163343
17,7,sequential,240.213531871196
18,3,delayed_coordination,236.663060222644
18,5,delayed_coordination,232.6263173716
18,7,sequential,236.352085996668
19,3,coordinated,252.602136961814
19,5,coordinated,248.364990738939
19,7,sequential,252.07234739478
20,3,early_mover,266.383169880094
20,5,early_mover,239.588289406905
20,7,sequential,242.250676339026
21,3,delayed_coordination,274.108081485469
21,5,coordinated,275.181757246019
21,7,coordinated,264.042670767618
22,3,sequential,243.936673358907
22,5,delayed_coordination,242.936026985303
22,7,coordinated,251.599566725629
23,3,sequential,243.492379782728
23,5,sequential,248.968470540011
23,7,coordinated,255.647479573803
24,3,delayed_coordination,222.306077017363
24,5,delayed_coordination,220.573103991188
24,7,sequential,223.970253153072
25,3,delayed_coordination,252.752729297471
25,5,early_mover,242.74650289454
25,7,sequential,249.350976767551
26,3,delayed_coordination,235.757427686416
26,5,delayed_coordination,259.134875224235
26,7,coordinated,250.355617481855
27,3,coordinated,235.702588969416
27,5,sequential,222.486083379042
27,7,delayed_coordination,229.106086321969
28,3,early_mover,240.343945937452
28,5,delayed_coordination,238.387391703469
28,7,sequential,224.470560391488
29,3,delayed_coordination,234.177225528102
29,5,coordinated,243.583476351812
29,7,sequential,237.55688551189
30,3,coordinated,224.469894343919
30,5,coordinated,234.784855554986
