cost_regime,eL,eG,scenario_id,scenario_name,GroupCount,mean_final_fitness,std_final_fitness,median_final_fitness,min_final_fitness,max_final_fitness,mean_final_risk,std_final_risk,median_final_risk,min_final_risk,max_final_risk,mean_final_trade,std_final_trade,median_final_trade,min_final_trade,max_final_trade,mean_final_recovering_links,std_final_recovering_links,median_final_recovering_links,min_final_recovering_links,max_final_recovering_links,mean_total_switches,std_total_switches,median_total_switches,min_total_switches,max_total_switches,mean_local_switches,std_local_switches,median_local_switches,min_local_switches,max_local_switches,mean_global_switches,std_global_switches,median_global_switches,min_global_switches,max_global_switches
baseline,0.1,0.2,baseline,Baseline,100,127.114075521689,1.46395798809435,126.93032501104,123.845704012393,130.7030572918,337.570300399783,15.236749717767,337.525745531532,302.559492566228,378.854960264567,2289.27192273151,62.5669519239417,2286.52050231041,2138.38943931166,2467.09032458123,119.67,13.0050922427495,122,84,149,2884.05,214.560550423371,2894,2240,3428,1080.85,87.0176314422438,1080,893,1323,1803.2,230.682562072742,1782,1240,2476
baseline,0.1,0.2,coordinated,Coordinated,100,117.63362493107,4.46734784017111,117.251277277218,106.811675251637,128.451634535954,244.750495431203,18.4581032990419,243.747964760696,206.029557572425,308.576083527864,1670.77262196593,88.2647603547415,1662.81139749634,1510.90429480214,1901.75095353901,248.73,26.5139014423938,250.5,180,303,4680.73,353.220503854794,4694.5,3872,5348,1677.73,101.619497751329,1687.5,1448,1872,3003,307.965038026177,3047,2282,3602
baseline,0.1,0.2,delayed_coordination,Delayed Coordination,100,119.684348128531,4.47709575877569,119.889423004776,107.991279296156,129.726214881408,239.130282868725,18.8097426570453,239.101400642954,188.533903235838,305.012121704474,1622.74248460315,86.5285472507223,1615.11549205368,1463.34124581778,1901.55488185431,257.76,23.9663568909891,260,202,301,4797.15,326.494616875202,4793,3802,5509,1692.59,101.102018183655,1690.5,1385,1930,3104.56,293.175312808572,3124.5,2417,3755
baseline,0.1,0.2,early_mover,Early Mover,100,121.895308303346,4.24710797987172,121.703228215124,109.947449266301,133.426529236322,246.082246382807,18.9802325572746,245.466580716365,198.624724137838,318.704196041617,1668.94822156501,87.2128665900559,1661.99634347834,1508.13925474685,1952.2858921509,251.74,21.7035211033332,255,203,299,4775.44,331.304563106749,4790,3763,5569,1670.37,98.3415666815093,1664.5,1392,1842,3105.07,307.004236308086,3115.5,2290,3835
baseline,0.1,0.2,sequential,Sequential,100,119.353518205299,4.25194221880727,119.62991400787,108.899927917466,127.879967594918,239.6416054593,17.4833760208685,237.878657326523,192.206132692016,307.449494927205,1627.44247054045,82.4524528722448,1624.50156605821,1479.28537221778,1860.97635011817,257.21,23.4285050416122,258,192,304,4769.42,319.588819794081,4758.5,3793,5520,1701.53,98.6033227255819,1700.5,1344,1876,3067.89,286.776578471109,3084.5,2283,3716
high,0.2,0.4,baseline,Baseline,100,114.51876073374,1.69803751262895,114.504375492017,110.23643954964,118.296102360886,403.54448748436,13.8910392425343,403.339088067335,371.210135858296,432.899647767145,2712.64536396745,50.0492143326359,2713.14186011756,2597.11548467111,2841.04894394081,33.3,7.32023623839139,32,18,53,1243.97,124.412027659156,1237,958,1543,748.58,40.2181375234929,750,641,884,495.39,109.861703238134,481,290,756
high,0.2,0.4,coordinated,Coordinated,100,92.1217759724402,3.04739749461551,92.3639890858322,85.0338550266538,100.861521875174,359.0866938755,16.7350154143457,360.097694533115,317.710619863047,399.009397863285,2425.32219182327,68.5105850732417,2424.33604550904,2235.714104018,2568.32509114396,93.68,17.8409810845874,93,56,139,2110.05,234.476566208673,2116.5,1595,2643,1058.54,75.5480207175769,1062,906,1250,1051.51,175.80426989448,1038,676,1467
high,0.2,0.4,delayed_coordination,Delayed Coordination,100,92.7192808862881,2.55992901860466,92.9479485498424,85.4228390314175,98.9965274938193,355.309111333131,15.8449680309301,355.724985338859,323.38495511107,400.373405186564,2401.88860843717,71.5820274551974,2398.35942470823,2229.02366443251,2580.26695504761,101.01,19.2303920864339,100.5,59,153,2125.32,232.13344646926,2112,1561,2691,1089.05,74.6787564617051,1083.5,865,1258,1036.27,174.329124174228,1025.5,663,1470
high,0.2,0.4,early_mover,Early Mover,100,95.3417502128407,2.45369785685164,95.2758789811016,87.8317219769127,101.125341049889,363.072994387914,16.3658828635855,364.339234348871,319.679416119801,403.044214492339,2447.16737807509,68.9718291652569,2448.05572531041,2251.29805117118,2620.91951027627,90.02,17.2374855791356,89.5,43,133,2038.68,222.639123682113,2031.5,1406,2529,1081.21,75.556293148509,1072,865,1268,957.47,166.593769209397,940.5,541,1375
high,0.2,0.4,sequential,Sequential,100,92.6301002596956,2.7076275910381,92.7915235469857,85.3108059492309,100.558300311098,355.31935870975,16.5904808459775,355.791036193314,320.197548959232,401.55573746471,2403.99049483729,69.9093793189241,2405.29853793346,2233.02546723837,2570.28338894023,101.03,17.7402441535133,99.5,64,139,2106.9,222.17494699157,2093.5,1519,2601,1093.94,77.042664292015,1082,877,1271,1012.96,163.381435093873,987.5,623,1387
low,0.05,0.1,baseline,Baseline,100,133.761534989013,1.5034214953592,133.663511223582,130.781424073243,138.864750304155,308.665253143131,17.1588638455853,307.649456126163,251.732757184821,352.952694668464,2093.88014494947,69.1763637256907,2088.4227523075,1942.51742298547,2268.61831446773,150.33,13.0299228274341,152,118,190,3593.46,230.194227169628,3615.5,3072,4240,1099.84,103.868479386679,1095.5,838,1329,2493.62,276.853999374575,2500,1923,3170
low,0.05,0.1,coordinated,Coordinated,100,133.911679725978,5.31182005809338,134.213078566977,121.814973127532,147.236402335758,196.916819371014,14.2174059824694,195.4049498259,160.886598366637,236.455039269211,1344.83855298041,71.4627563787736,1335.55107001861,1204.71920712354,1579.3761857135,304.27,21.7608001746816,310,247,345,5755.53,297.383453276789,5784,4875,6281,1895.81,122.309567091132,1901,1529,2138,3859.72,279.558131863319,3889,3106,4462
low,0.05,0.1,delayed_coordination,Delayed Coordination,100,136.818091440737,5.43136380932179,136.974162817403,122.835095995372,148.729241396216,191.498329054296,15.2703390338722,189.393619043681,159.000457848012,252.685762259151,1300.9177999814,66.699901647362,1296.19026023567,1167.08109637862,1591.848045021,312.09,19.3579232336321,315.5,204,346,5901.51,268.462795609117,5931.5,4794,6366,1885.92,116.790728841952,1895,1572,2177,4015.59,259.371972466206,4015.5,3057,4697
low,0.05,0.1,early_mover,Early Mover,100,139.293560438792,5.26927371097021,139.135500389443,127.383503125892,151.372723655633,195.598456986711,13.7819439238192,194.640223327389,164.370774183463,242.643757450436,1335.29351234166,60.9664489931395,1331.8641849002,1201.68181657802,1585.68810205379,307.6,15.94941498563,310,243,342,5921.4,256.587039990154,5956.5,5051,6439,1838.99,113.159268736636,1840.5,1532,2186,4082.41,261.582831387627,4068,3281,4695
low,0.05,0.1,sequential,Sequential,100,136.742823433809,5.31397392370939,137.056953985626,122.080556675978,148.401265874415,190.857001318446,14.7834979289435,189.308378033392,155.70994120007,236.455901940614,1300.50766084611,65.8782604963638,1301.58178567487,1176.46687204132,1563.16965229036,312.55,16.8986132955675,314.5,254,345,5888.33,268.358385994053,5913,5025,6394,1905.99,116.115102681378,1924,1589,2230,3982.34,262.419058035429,3979.5,3256,4585
