replication,seed,cost_regime,eL,eG,scenario_id,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_total_switches_vs_baseline
1,1,low,0.05,0.1,baseline,0,0,0,0
1,1,low,0.05,0.1,early_mover,9.37575759701221,-124.605590591222,-836.57733462366,2337
1,1,low,0.05,0.1,sequential,6.86450515070956,-139.504296164519,-899.776585721787,2337
1,1,low,0.05,0.1,coordinated,-5.89551361668438,-118.438978530584,-677.071618109279,1855
1,1,low,0.05,0.1,delayed_coordination,5.27866372949202,-139.158307562998,-880.501520062179,2376
1,1,baseline,0.1,0.2,baseline,0,0,0,0
1,1,baseline,0.1,0.2,early_mover,-9.2700169738528,-104.233546737453,-542.654332041675,1492
1,1,baseline,0.1,0.2,sequential,-13.5063767302676,-108.017094521981,-555.235506801216,1396
1,1,baseline,0.1,0.2,coordinated,-14.1872051994781,-104.662276622977,-477.427922721922,1268
1,1,baseline,0.1,0.2,delayed_coordination,-12.6308874955035,-113.745538785668,-567.217096147391,1519
1,1,high,0.2,0.4,baseline,0,0,0,0
1,1,high,0.2,0.4,early_mover,-15.9289396329303,-65.5450376896665,-337.300193461343,923
1,1,high,0.2,0.4,sequential,-18.0730151165149,-85.4496100351901,-434.275344680402,1115
1,1,high,0.2,0.4,coordinated,-23.0679417224715,-61.7135083376733,-298.660542352866,701
1,1,high,0.2,0.4,delayed_coordination,-18.1821099017243,-83.2495978094802,-397.603626712665,1074
2,2,low,0.05,0.1,baseline,0,0,0,0
2,2,low,0.05,0.1,early_mover,9.65494504082508,-135.231809679066,-846.289420550787,2585
2,2,low,0.05,0.1,sequential,8.80286735892668,-140.126056622558,-911.58707385327,2583
2,2,low,0.05,0.1,coordinated,0.975526249919113,-119.168984419868,-801.809525362373,2285
2,2,low,0.05,0.1,delayed_coordination,6.08842779757168,-139.741830279416,-897.51392574165,2533
2,2,baseline,0.1,0.2,baseline,0,0,0,0
2,2,baseline,0.1,0.2,early_mover,-5.15597811462122,-90.7939010929196,-682.37271986005,1988
2,2,baseline,0.1,0.2,sequential,-7.87359381042137,-93.1381449661166,-739.502983429134,2089
2,2,baseline,0.1,0.2,coordinated,-9.27047043474522,-95.6768587923528,-693.686423834307,2135
2,2,baseline,0.1,0.2,delayed_coordination,-5.01634924375277,-102.159778735289,-777.030595032111,2112
2,2,high,0.2,0.4,baseline,0,0,0,0
2,2,high,0.2,0.4,early_mover,-19.1163715719181,-38.0468339168586,-305.191314638305,1099
2,2,high,0.2,0.4,sequential,-22.1173072117932,-44.6409299780101,-322.745386410862,1150
2,2,high,0.2,0.4,coordinated,-21.816283770204,-41.5306116805751,-323.905940505438,1099
2,2,high,0.2,0.4,delayed_coordination,-22.5887184527441,-43.7041348855787,-314.354878390293,1144
3,3,low,0.05,0.1,baseline,0,0,0,0
3,3,low,0.05,0.1,early_mover,12.2851378991603,-122.826259847181,-852.055854965428,2676
3,3,low,0.05,0.1,sequential,9.60816064218972,-129.98624175811,-899.732213199166,2695
3,3,low,0.05,0.1,coordinated,7.36729450482775,-131.83857675033,-871.385759774629,2567
3,3,low,0.05,0.1,delayed_coordination,10.5213777023888,-125.153207592686,-896.659754421903,2761
3,3,baseline,0.1,0.2,baseline,0,0,0,0
3,3,baseline,0.1,0.2,early_mover,-11.9617869488977,-83.2920162415857,-514.804432430337,1523
3,3,baseline,0.1,0.2,sequential,-12.2483966068277,-89.8212688625817,-606.11397446306,1553
3,3,baseline,0.1,0.2,coordinated,-10.6723507058884,-88.4922548314283,-593.335279768354,1632
3,3,baseline,0.1,0.2,delayed_coordination,-14.2114680569206,-79.4342449284686,-565.535442726926,1562
3,3,high,0.2,0.4,baseline,0,0,0,0
3,3,high,0.2,0.4,early_mover,-20.5799336996375,-48.2544404427953,-220.129433664543,551
3,3,high,0.2,0.4,sequential,-22.5045800982728,-53.1249961491438,-275.252975241583,650
3,3,high,0.2,0.4,coordinated,-21.6331369290746,-53.0838766443037,-272.723852796848,756
3,3,high,0.2,0.4,delayed_coordination,-22.4807236177658,-51.6232860945381,-266.590452640844,648
4,4,low,0.05,0.1,baseline,0,0,0,0
4,4,low,0.05,0.1,early_mover,12.0774950160013,-131.841706450369,-839.138006007457,2469
4,4,low,0.05,0.1,sequential,7.29057984191274,-140.502539433762,-938.392351555232,2583
4,4,low,0.05,0.1,coordinated,-1.43240782956144,-122.026316692349,-830.313651487961,2142
4,4,low,0.05,0.1,delayed_coordination,7.29381921455928,-137.212022785819,-910.856223213825,2536
4,4,baseline,0.1,0.2,baseline,0,0,0,0
4,4,baseline,0.1,0.2,early_mover,-2.40152584482388,-98.7354573486889,-674.682527428699,1761
4,4,baseline,0.1,0.2,sequential,-9.26230632461844,-74.0054845829126,-614.704043057839,1633
4,4,baseline,0.1,0.2,coordinated,-9.08725776016709,-89.4509983710812,-612.680903934442,1647
4,4,baseline,0.1,0.2,delayed_coordination,-4.95531425471489,-100.895563413081,-713.617833283087,1854
4,4,high,0.2,0.4,baseline,0,0,0,0
4,4,high,0.2,0.4,early_mover,-17.3307801027209,-43.4805520526733,-313.107557489791,879
4,4,high,0.2,0.4,sequential,-19.1197026619094,-62.1438291760185,-395.966658011456,1034
4,4,high,0.2,0.4,coordinated,-22.7864660931638,-36.8819619007427,-273.521197925392,812
4,4,high,0.2,0.4,delayed_coordination,-22.2750280545733,-40.0849574949921,-309.921554210497,870
5,5,low,0.05,0.1,baseline,0,0,0,0
5,5,low,0.05,0.1,early_mover,0.453606357607015,-101.403994675461,-684.378141094111,2062
5,5,low,0.05,0.1,sequential,-2.64738614010815,-114.466852518023,-743.429811926225,2077
5,5,low,0.05,0.1,coordinated,-9.40749802522149,-100.671329763447,-658.033770865292,1860
5,5,low,0.05,0.1,delayed_coordination,-3.6836882119415,-108.543518867596,-730.269135280704,2055
5,5,baseline,0.1,0.2,baseline,0,0,0,0
5,5,baseline,0.1,0.2,early_mover,-3.36445469842485,-93.613710401036,-667.670125724165,1836
5,5,baseline,0.1,0.2,sequential,-4.11766399101948,-106.027488363189,-739.253453294835,1988
5,5,baseline,0.1,0.2,coordinated,-10.005182693378,-95.4031753439266,-614.390730770093,1555
5,5,baseline,0.1,0.2,delayed_coordination,-3.2555305942129,-105.318990837968,-734.005580649379,1971
5,5,high,0.2,0.4,baseline,0,0,0,0
5,5,high,0.2,0.4,early_mover,-23.9355842255455,-21.2337086203117,-186.974026481978,419
5,5,high,0.2,0.4,sequential,-25.5339779064952,-45.0671361326367,-251.057882632605,559
5,5,high,0.2,0.4,coordinated,-26.3843340025367,-27.2814074531952,-207.732769092971,523
5,5,high,0.2,0.4,delayed_coordination,-24.7469090210287,-45.1024489055632,-248.698840037539,567
6,6,low,0.05,0.1,baseline,0,0,0,0
6,6,low,0.05,0.1,early_mover,12.9725103433521,-105.923930257984,-784.647116137608,2641
6,6,low,0.05,0.1,sequential,9.32588073830121,-104.330389113822,-802.942846890571,2577
6,6,low,0.05,0.1,coordinated,4.92995617791547,-105.144324985032,-763.997917869578,2460
6,6,low,0.05,0.1,delayed_coordination,11.0941358879632,-116.067807519073,-838.567785699329,2626
6,6,baseline,0.1,0.2,baseline,0,0,0,0
6,6,baseline,0.1,0.2,early_mover,1.1709350042487,-91.608296930661,-704.366951379088,2165
6,6,baseline,0.1,0.2,sequential,-2.77451754073735,-104.665689285718,-759.190805777084,2166
6,6,baseline,0.1,0.2,coordinated,-10.5856230431845,-72.3475083414783,-597.691892548191,1930
6,6,baseline,0.1,0.2,delayed_coordination,-2.73476898623976,-96.2478288528851,-725.383965878586,2162
6,6,high,0.2,0.4,baseline,0,0,0,0
6,6,high,0.2,0.4,early_mover,-18.4845596689277,-46.2466349421603,-319.646905345053,1117
6,6,high,0.2,0.4,sequential,-21.9107250025323,-48.4834892311767,-362.654882088282,1137
6,6,high,0.2,0.4,coordinated,-20.3932675797841,-52.4587665912996,-370.061367289377,1193
6,6,high,0.2,0.4,delayed_coordination,-21.3861491205025,-51.7039653553113,-359.649900150681,1195
7,7,low,0.05,0.1,baseline,0,0,0,0
7,7,low,0.05,0.1,early_mover,6.83329182144362,-106.289686175528,-739.691183649581,2514
7,7,low,0.05,0.1,sequential,4.8787839785233,-110.733507292687,-787.006981233252,2557
7,7,low,0.05,0.1,coordinated,3.82206689083881,-105.09735500235,-753.113712391913,2487
7,7,low,0.05,0.1,delayed_coordination,3.3652220478358,-104.597606105895,-754.046286424792,2562
7,7,baseline,0.1,0.2,baseline,0,0,0,0
7,7,baseline,0.1,0.2,early_mover,-1.50670828241607,-66.4565101928742,-621.006737945915,2167
7,7,baseline,0.1,0.2,sequential,-4.31190055043859,-76.1521454051792,-678.962619988779,2151
7,7,baseline,0.1,0.2,coordinated,-4.88596480509622,-74.0622167121532,-677.289462133623,2152
7,7,baseline,0.1,0.2,delayed_coordination,-5.37149067644393,-69.4118681074999,-662.43060048833,2168
7,7,high,0.2,0.4,baseline,0,0,0,0
7,7,high,0.2,0.4,early_mover,-20.651008805153,-12.3804436708209,-232.248777291089,573
7,7,high,0.2,0.4,sequential,-23.7572461208636,-17.5999312468473,-277.482707078304,603
7,7,high,0.2,0.4,coordinated,-25.1602831592924,-12.8362141075248,-237.43175586004,664
7,7,high,0.2,0.4,delayed_coordination,-22.6702301546375,-27.291432878956,-304.158239660465,716
8,8,low,0.05,0.1,baseline,0,0,0,0
8,8,low,0.05,0.1,early_mover,6.37393564517578,-121.758592619735,-800.676210429926,2533
8,8,low,0.05,0.1,sequential,2.30399352227596,-126.871655304183,-825.842072142639,2479
8,8,low,0.05,0.1,coordinated,1.66433084230417,-127.63039756828,-804.564289233744,2485
8,8,low,0.05,0.1,delayed_coordination,3.39345867685057,-125.897707215505,-842.202399978664,2556
8,8,baseline,0.1,0.2,baseline,0,0,0,0
8,8,baseline,0.1,0.2,early_mover,-4.4116223540637,-95.0400921419345,-708.105223947755,2219
8,8,baseline,0.1,0.2,sequential,-6.99778936634547,-97.1696400884534,-737.098033726259,2172
8,8,baseline,0.1,0.2,coordinated,-6.70831690403841,-105.756667954379,-756.602037302672,2141
8,8,baseline,0.1,0.2,delayed_coordination,-6.93546495305372,-99.8244366607054,-736.801498709686,2239
8,8,high,0.2,0.4,baseline,0,0,0,0
8,8,high,0.2,0.4,early_mover,-17.2000386925842,-59.2008964120542,-329.047182919886,1067
8,8,high,0.2,0.4,sequential,-19.6411008254973,-70.7578790189835,-389.388745614468,1184
8,8,high,0.2,0.4,coordinated,-20.757170309308,-54.0415938080487,-388.109687113908,1129
8,8,high,0.2,0.4,delayed_coordination,-21.5781636661827,-59.0436214177221,-354.529717446879,1129
9,9,low,0.05,0.1,baseline,0,0,0,0
9,9,low,0.05,0.1,early_mover,3.64461969776531,-106.37831682619,-796.036822692972,2514
9,9,low,0.05,0.1,sequential,4.32483470585342,-120.640846702145,-865.754707568419,2552
9,9,low,0.05,0.1,coordinated,0.37430861727708,-112.441022179114,-797.450387863619,2551
9,9,low,0.05,0.1,delayed_coordination,4.47882046674849,-116.610435414445,-860.478573186262,2609
9,9,baseline,0.1,0.2,baseline,0,0,0,0
9,9,baseline,0.1,0.2,early_mover,-1.63109087785352,-96.4672543732333,-687.565245406903,1920
9,9,baseline,0.1,0.2,sequential,-5.67488832336203,-98.8877443877467,-717.000016916948,1866
9,9,baseline,0.1,0.2,coordinated,-9.82656087463552,-83.103115439401,-634.087058317889,1811
9,9,baseline,0.1,0.2,delayed_coordination,-7.09369394827162,-91.7459628555991,-693.043750935502,1803
9,9,high,0.2,0.4,baseline,0,0,0,0
9,9,high,0.2,0.4,early_mover,-17.1040558254087,-54.6996314446405,-301.38534008447,909
9,9,high,0.2,0.4,sequential,-18.3377637938619,-65.5342831734409,-362.749170810907,1025
9,9,high,0.2,0.4,coordinated,-18.6000593393113,-51.7282377374859,-352.684127180269,1122
9,9,high,0.2,0.4,delayed_coordination,-18.5895477962824,-63.6846701481163,-360.070054248784,1015
10,10,low,0.05,0.1,baseline,0,0,0,0
10,10,low,0.05,0.1,early_mover,4.40180135260294,-109.196096149732,-738.805663451924,2189
10,10,low,0.05,0.1,sequential,3.11719293796207,-117.079628390613,-793.093410700813,2123
10,10,low,0.05,0.1,coordinated,-1.24584127809302,-111.286416861953,-764.508472900197,2227
10,10,low,0.05,0.1,delayed_coordination,-2.40855724733692,-101.558772402178,-692.361866288706,2052
10,10,baseline,0.1,0.2,baseline,0,0,0,0
10,10,baseline,0.1,0.2,early_mover,-8.91176054490273,-82.7730882543181,-532.277899559797,1388
10,10,baseline,0.1,0.2,sequential,-12.6176082673751,-70.7466519345382,-577.923852628935,1345
10,10,baseline,0.1,0.2,coordinated,-10.3151716029157,-84.6764503798273,-580.517035992158,1682
10,10,baseline,0.1,0.2,delayed_coordination,-11.105218298646,-83.5071537982347,-581.526328207798,1534
10,10,high,0.2,0.4,baseline,0,0,0,0
10,10,high,0.2,0.4,early_mover,-19.4204057545073,-34.3622554223913,-267.248908200321,920
