replication,seed,cost_regime,eL,eG,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
1,1,low,0.05,0.1,baseline,Baseline,133.408716012227,345.541696236323,2323.12698959014,129,2568,798,1770
1,1,low,0.05,0.1,early_mover,Early Mover,131.11912149802,241.80503489365,1718.79415602754,250,4378,1374,3004
1,1,low,0.05,0.1,sequential,Sequential,130.020517475325,212.417942543577,1551.71569159989,276,4312,1510,2802
1,1,low,0.05,0.1,coordinated,Coordinated,132.651525791024,208.772153133041,1561.1861970612,276,4654,1395,3259
1,1,low,0.05,0.1,delayed_coordination,Delayed Coordination,130.670864589142,204.073240862681,1555.92025807619,276,4456,1409,3047
1,1,baseline,0.1,0.2,baseline,Baseline,123.409902094528,388.905688852563,2626.28447587375,77,1531,594,937
1,1,baseline,0.1,0.2,early_mover,Early Mover,122.312911826272,276.857362878702,1906.95515763826,223,3466,1063,2403
1,1,baseline,0.1,0.2,sequential,Sequential,123.149814504869,244.232515342964,1755.9857980025,245,3612,1112,2500
1,1,baseline,0.1,0.2,coordinated,Coordinated,117.270733718121,288.737803641952,1905.1838276424,207,3485,1102,2383
1,1,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,122.572753333865,252.632127155263,1790.17362975759,243,3668,1117,2551
1,1,high,0.2,0.4,baseline,Baseline,113.693103897294,444.022599557293,2958.89426114781,8,145,52,93
1,1,high,0.2,0.4,early_mover,Early Mover,95.1690199535524,402.923155008056,2685.99538845613,58,966,385,581
1,1,high,0.2,0.4,sequential,Sequential,90.8722991403399,402.686208603122,2681.02993887692,57,968,406,562
1,1,high,0.2,0.4,coordinated,Coordinated,95.6511612659038,378.950306683737,2574.71661326004,80,1336,520,816
1,1,high,0.2,0.4,delayed_coordination,Delayed Coordination,92.3938796875303,396.617277667072,2654.51426191402,66,1011,407,604
2,2,low,0.05,0.1,baseline,Baseline,131.780977900564,348.113095230789,2299.51920355038,138,2843,670,2173
2,2,low,0.05,0.1,early_mover,Early Mover,143.895834410289,200.327123068873,1340.5908754319,310,5645,1398,4247
2,2,low,0.05,0.1,sequential,Sequential,139.810103647738,190.165803551676,1313.48354597894,312,5523,1469,4054
2,2,low,0.05,0.1,coordinated,Coordinated,137.190596109973,199.591108077721,1360.19404771265,315,5417,1536,3881
2,2,low,0.05,0.1,delayed_coordination,Delayed Coordination,140.802738265344,190.68475300571,1298.07234130055,314,5579,1469,4110
2,2,baseline,0.1,0.2,baseline,Baseline,122.62599675657,393.21231572829,2604.53433086301,83,1741,638,1103
2,2,baseline,0.1,0.2,early_mover,Early Mover,124.70203551947,257.853408134083,1738.25049385161,261,4276,1226,3050
