replication,cost_regime,lowest_risk_scenario,lowest_final_risk
1,low,sequential,179.634314669825
1,baseline,delayed_coordination,233.815861461161
1,high,sequential,329.889249030558
2,low,sequential,178.561485378376
2,baseline,delayed_coordination,238.591640618031
2,high,sequential,362.484299833909
3,low,coordinated,189.886487230646
3,baseline,sequential,259.0751440614
3,high,sequential,364.116642687769
4,low,sequential,155.70994120007
4,baseline,delayed_coordination,202.704161305246
4,high,sequential,325.414630571434
5,low,sequential,177.060885509447
5,baseline,sequential,216.83029685136
5,high,delayed_coordination,343.9539322128
6,low,delayed_coordination,175.160576215439
6,baseline,sequential,231.186094663746
6,high,coordinated,352.258457656732
7,low,sequential,182.883521612321
7,baseline,sequential,237.088938577919
7,high,delayed_coordination,362.434890427692
8,low,coordinated,180.273524623402
8,baseline,coordinated,227.387320652565
8,high,sequential,323.940881414516
9,low,sequential,196.248956149859
9,baseline,sequential,231.540831309036
9,high,sequential,344.876367408945
10,low,sequential,189.701550738572
10,baseline,coordinated,241.535838676811
10,high,delayed_coordination,335.32478817003
11,low,sequential,194.301267162874
11,baseline,coordinated,237.184561671278
11,high,sequential,361.908407886807
12,low,sequential,191.89992296402
12,baseline,delayed_coordination,231.096802748487
12,high,sequential,336.730055200804
13,low,coordinated,188.682076770104
13,baseline,coordinated,225.771151368017
13,high,delayed_coordination,359.872950913337
14,low,delayed_coordination,194.205249768345
14,baseline,delayed_coordination,246.716764243454
14,high,coordinated,336.570031439095
15,low,sequential,187.372942238531
15,baseline,sequential,241.300260404474
15,high,delayed_coordination,373.620278513825
16,low,coordinated,196.741330105741
16,baseline,delayed_coordination,223.8162877999
16,high,sequential,328.789262330923
17,low,coordinated,193.673183976124
17,baseline,delayed_coordination,226.213532455743
17,high,coordinated,341.562642919633
18,low,delayed_coordination,176.956708198365
18,baseline,coordinated,235.173540922145
18,high,coordinated,317.710619863047
19,low,delayed_coordination,208.165531470534
19,baseline,delayed_coordination,221.358023582127
19,high,coordinated,345.876257672768
20,low,sequential,194.958621383239
20,baseline,sequential,242.899553646424
20,high,sequential,336.116261117163
21,low,coordinated,191.658995533554
21,baseline,coordinated,244.690135789813
21,high,delayed_coordination,353.996775861168
