replication,seed,scenario_id,delta_final_risk_vs_permuted_baseline
1,1,baseline,0
1,1,early_mover,-98.3943298805156
1,1,sequential,-124.365164247782
1,1,coordinated,-95.4484639304052
1,1,delayed_coordination,-122.373932085425
2,2,baseline,0
2,2,early_mover,-132.084921892441
2,2,sequential,-136.535004427462
2,2,coordinated,-146.407517178137
2,2,delayed_coordination,-136.557042180393
3,3,baseline,0
3,3,early_mover,-123.798543748382
3,3,sequential,-120.510594148843
3,3,coordinated,-110.575027971269
3,3,delayed_coordination,-138.665837084622
4,4,baseline,0
4,4,early_mover,-135.447898311584
4,4,sequential,-127.562526261417
4,4,coordinated,-93.7670982541184
4,4,delayed_coordination,-132.672536212218
5,5,baseline,0
5,5,early_mover,-97.4541569834868
5,5,sequential,-86.5592539214095
5,5,coordinated,-86.4021789977527
5,5,delayed_coordination,-91.851269991324
6,6,baseline,0
6,6,early_mover,-119.151431013212
6,6,sequential,-127.747903435679
6,6,coordinated,-111.823562089023
6,6,delayed_coordination,-117.319628212574
7,7,baseline,0
7,7,early_mover,-87.830595708883
7,7,sequential,-91.6797194186946
7,7,coordinated,-99.767535462313
7,7,delayed_coordination,-91.7640189776758
8,8,baseline,0
8,8,early_mover,-108.111407751953
8,8,sequential,-98.373500405009
8,8,coordinated,-102.655785861473
8,8,delayed_coordination,-104.776804231611
9,9,baseline,0
9,9,early_mover,-112.655164050787
9,9,sequential,-108.509833192589
9,9,coordinated,-116.213916884919
9,9,delayed_coordination,-119.488897558947
10,10,baseline,0
10,10,early_mover,-114.015088266578
10,10,sequential,-123.302626392561
10,10,coordinated,-115.178232988629
10,10,delayed_coordination,-122.37656292418
11,11,baseline,0
11,11,early_mover,-81.6433750683465
11,11,sequential,-108.409319097648
11,11,coordinated,-97.5490934162179
11,11,delayed_coordination,-107.293377063705
12,12,baseline,0
12,12,early_mover,-105.38834948279
12,12,sequential,-118.482427917985
12,12,coordinated,-127.063879698955
12,12,delayed_coordination,-121.654633123046
13,13,baseline,0
13,13,early_mover,-124.64123298002
13,13,sequential,-121.343860217383
13,13,coordinated,-115.715837787396
13,13,delayed_coordination,-119.407483597256
14,14,baseline,0
14,14,early_mover,-119.014277870107
14,14,sequential,-120.125117474869
14,14,coordinated,-148.744098706953
14,14,delayed_coordination,-92.5519089586586
15,15,baseline,0
15,15,early_mover,-110.893699762567
15,15,sequential,-121.007182244981
15,15,coordinated,-134.157606215082
15,15,delayed_coordination,-122.761726640273
16,16,baseline,0
16,16,early_mover,-100.147807327581
16,16,sequential,-117.014419308743
16,16,coordinated,-106.990606047614
16,16,delayed_coordination,-118.677649591444
17,17,baseline,0
17,17,early_mover,-108.88036455278
17,17,sequential,-122.069026324365
17,17,coordinated,-113.701456858662
17,17,delayed_coordination,-134.238505728593
18,18,baseline,0
18,18,early_mover,-132.330420388178
18,18,sequential,-144.000917609333
18,18,coordinated,-131.684700179914
18,18,delayed_coordination,-140.133900436794
19,19,baseline,0
19,19,early_mover,-82.8742488059693
19,19,sequential,-92.3245132449831
19,19,coordinated,-97.6177685237323
19,19,delayed_coordination,-86.1698781363974
20,20,baseline,0
20,20,early_mover,-122.511326999279
20,20,sequential,-125.675243980893
20,20,coordinated,-110.495379011929
20,20,delayed_coordination,-111.760004743569
21,21,baseline,0
21,21,early_mover,-92.0145294070684
21,21,sequential,-110.879677642255
21,21,coordinated,-120.072178216103
21,21,delayed_coordination,-108.838708294929
22,22,baseline,0
22,22,early_mover,-108.909524756445
22,22,sequential,-101.327138513438
22,22,coordinated,-115.128185198338
22,22,delayed_coordination,-119.485192199594
23,23,baseline,0
23,23,early_mover,-128.860301839163
23,23,sequential,-133.755049870028
23,23,coordinated,-126.79424876879
23,23,delayed_coordination,-137.120561888706
24,24,baseline,0
24,24,early_mover,-121.46518862158
24,24,sequential,-120.596519290638
24,24,coordinated,-113.73563455287
24,24,delayed_coordination,-119.214816139624
25,25,baseline,0
25,25,early_mover,-101.315110335013
25,25,sequential,-89.1854414814034
25,25,coordinated,-92.834004627677
25,25,delayed_coordination,-102.40197271176
26,26,baseline,0
26,26,early_mover,-102.521960639438
26,26,sequential,-114.242877551614
26,26,coordinated,-119.992497826468
26,26,delayed_coordination,-108.554108216097
27,27,baseline,0
27,27,early_mover,-136.930365119466
27,27,sequential,-150.4526189125
27,27,coordinated,-131.945924256453
27,27,delayed_coordination,-146.157924564756
28,28,baseline,0
28,28,early_mover,-117.376859666756
28,28,sequential,-127.390494506583
28,28,coordinated,-124.528915109195
28,28,delayed_coordination,-127.979652775903
29,29,baseline,0
29,29,early_mover,-91.3570976045573
29,29,sequential,-113.883821531462
29,29,coordinated,-121.445581061837
29,29,delayed_coordination,-106.586343626266
30,30,baseline,0
30,30,early_mover,-109.748750786797
30,30,sequential,-120.960631110609
30,30,coordinated,-112.793027210716
30,30,delayed_coordination,-123.434604728764
31,31,baseline,0
31,31,early_mover,-127.78350563482
31,31,sequential,-125.11372253721
31,31,coordinated,-135.112228172033
31,31,delayed_coordination,-138.951577588089
32,32,baseline,0
32,32,early_mover,-121.878771799219
32,32,sequential,-126.826973954542
32,32,coordinated,-100.515119733927
32,32,delayed_coordination,-133.110570853368
33,33,baseline,0
33,33,early_mover,-93.8904006477219
33,33,sequential,-109.582817849596
33,33,coordinated,-90.2601405106163
33,33,delayed_coordination,-101.782917628854
34,34,baseline,0
34,34,early_mover,-88.5289168219927
34,34,sequential,-98.6968501415219
34,34,coordinated,-102.862885632979
34,34,delayed_coordination,-97.5598490115029
35,35,baseline,0
35,35,early_mover,-98.5441807254024
35,35,sequential,-105.935493904802
35,35,coordinated,-113.473694390632
35,35,delayed_coordination,-106.761234249655
36,36,baseline,0
36,36,early_mover,-111.396423847508
36,36,sequential,-119.120405185892
36,36,coordinated,-105.568406210382
36,36,delayed_coordination,-118.678550681994
37,37,baseline,0
37,37,early_mover,-103.355102640043
37,37,sequential,-115.047344704106
37,37,coordinated,-106.050275193477
37,37,delayed_coordination,-115.085172509699
38,38,baseline,0
38,38,early_mover,-64.0752078656474
38,38,sequential,-89.0256234679636
38,38,coordinated,-80.9774465342179
38,38,delayed_coordination,-82.4376276134885
39,39,baseline,0
39,39,early_mover,-126.955708318844
39,39,sequential,-128.47545063077
39,39,coordinated,-117.995977667395
39,39,delayed_coordination,-134.854588801201
40,40,baseline,0
40,40,early_mover,-129.289192320053
40,40,sequential,-127.362086625937
40,40,coordinated,-126.228112625645
40,40,delayed_coordination,-128.102541004374
41,41,baseline,0
41,41,early_mover,-102.064695574467
41,41,sequential,-107.890426800343
41,41,coordinated,-112.559207807675
41,41,delayed_coordination,-118.532089981347
42,42,baseline,0
42,42,early_mover,-102.034751177697
42,42,sequential,-102.253259007017
42,42,coordinated,-104.547819682312
42,42,delayed_coordination,-100.781813096578
43,43,baseline,0
43,43,early_mover,-124.719686949115
43,43,sequential,-132.601988766254
