replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
1,1,baseline,Baseline,128.471467322935,347.561400246829,332.721991882557,-14.8394083642717,2344.74238495496,2649
1,1,early_mover,Early Mover,119.201450349082,243.327853509376,257.199796901403,13.871943392027,1802.08805291328,4141
1,1,sequential,Sequential,114.965090592667,239.544305724848,249.939504400574,10.395198675726,1789.50687815374,4045
1,1,coordinated,Coordinated,114.284262123457,242.899123623852,262.728857850293,19.8297342264406,1867.31446223304,3917
1,1,delayed_coordination,Delayed Coordination,115.840579827431,233.815861461161,256.423856440281,22.6079949791203,1777.52528880757,4168
2,2,baseline,Baseline,128.505671243792,340.75141935332,325.934186390833,-14.8172329624863,2288.56803367606,2889
2,2,early_mover,Early Mover,123.34969312917,249.9575182604,225.132524456362,-24.8249938040378,1606.19531381601,4877
2,2,sequential,Sequential,120.63207743337,247.613274387203,219.558420893353,-28.0548534938501,1549.06505024693,4978
2,2,coordinated,Coordinated,119.235200809046,245.074560560967,226.794088828597,-18.28047173237,1594.88160984175,5024
2,2,delayed_coordination,Delayed Coordination,123.489322000039,238.591640618031,219.298898863734,-19.2927417542964,1511.53743864395,5001
3,3,baseline,Baseline,127.053051251761,348.896412923982,359.429074531951,10.5326616079693,2467.09032458123,2240
3,3,early_mover,Early Mover,115.091264302863,265.604396682396,275.282250070293,9.67785338789685,1952.2858921509,3763
3,3,sequential,Sequential,114.804654644933,259.0751440614,268.606621915957,9.53147785455747,1860.97635011817,3793
3,3,coordinated,Coordinated,116.380700545872,260.404158092553,253.919048897563,-6.48510919499068,1873.75504481288,3872
3,3,delayed_coordination,Delayed Coordination,112.84158319484,269.462167995513,274.664605422753,5.20243742724,1901.55488185431,3802
4,4,baseline,Baseline,126.120484140994,303.599724718327,344.150873299869,40.5511485815412,2287.91764447672,2854
4,4,early_mover,Early Mover,123.71895829617,204.864267369639,242.759441152425,37.8951737827861,1613.23511704802,4615
4,4,sequential,Sequential,116.858177816376,229.594240135415,256.655745426722,27.061505291307,1673.21360141888,4487
4,4,coordinated,Coordinated,117.033226380827,214.148726347246,250.161062750063,36.0123364028172,1675.23674054228,4501
4,4,delayed_coordination,Delayed Coordination,121.165169886279,202.704161305246,238.533557663837,35.8293963585903,1574.29981119363,4708
5,5,baseline,Baseline,125.947825705486,322.857785214549,338.759095229613,15.901310015064,2252.4175435453,3065
5,5,early_mover,Early Mover,122.583371007061,229.244074813513,248.086110303396,18.8420354898824,1584.74741782114,4901
5,5,sequential,Sequential,121.830161714466,216.83029685136,236.008530442974,19.1782335916139,1513.16409025047,5053
5,5,coordinated,Coordinated,115.942643012108,227.454609870623,266.634098968825,39.1794890982025,1638.02681277521,4620
5,5,delayed_coordination,Delayed Coordination,122.692295111273,217.538794376581,237.678124031516,20.1393296549353,1518.41196289592,5036
6,6,baseline,Baseline,125.985308644577,335.851783949464,357.766943701652,21.9151597521883,2301.96893204739,2718
6,6,early_mover,Early Mover,127.156243648825,244.243487018803,245.877383119162,1.63389610035884,1597.6019806683,4883
6,6,sequential,Sequential,123.210791103839,231.186094663746,223.209709023563,-7.97638564018266,1542.7781262703,4884
