replication,lowest_risk_scenario,lowest_final_risk
1,sequential,241.526304062785
2,coordinated,232.826015151402
3,delayed_coordination,244.05023028088
4,early_mover,258.60793587847
5,early_mover,270.011172097115
6,sequential,235.63445419729
7,coordinated,248.413520516998
8,early_mover,236.754181557086
9,delayed_coordination,258.47286093597
10,sequential,251.879411086885
11,sequential,255.236618835614
12,coordinated,216.752546729849
13,early_mover,234.743687871666
14,coordinated,237.061762668968
15,coordinated,229.384122645844
16,delayed_coordination,242.835434478416
17,delayed_coordination,259.694724116671
18,sequential,213.947728113802
19,coordinated,280.882093387209
20,sequential,236.796362303016
21,coordinated,258.010512961014
22,delayed_coordination,226.459331091054
23,delayed_coordination,241.869690700993
24,early_mover,231.303514174147
25,delayed_coordination,249.506856998221
26,coordinated,273.463902467035
27,sequential,235.614624887217
28,delayed_coordination,240.359607056645
29,coordinated,257.913574084104
30,delayed_coordination,245.539080071952
31,delayed_coordination,250.066460762149
32,delayed_coordination,225.866312945302
33,sequential,265.14593781524
34,coordinated,231.464194850088
35,coordinated,244.017074037214
36,sequential,247.971108348609
37,delayed_coordination,287.382749894681
38,sequential,290.560995332454
39,delayed_coordination,230.948761688549
40,early_mover,260.692693664077
41,delayed_coordination,241.587360719629
42,coordinated,244.42966811675
43,delayed_coordination,222.692746081864
44,coordinated,270.740873462969
45,delayed_coordination,241.824036120339
46,sequential,235.785235783164
47,delayed_coordination,221.888634689846
48,delayed_coordination,263.518803532214
49,sequential,248.964136858203
50,sequential,234.935001363365
51,coordinated,256.800951001191
52,early_mover,259.914979090649
53,coordinated,242.767599373859
54,sequential,259.025337826555
55,delayed_coordination,230.111221237754
56,sequential,277.882178976435
57,coordinated,230.101902832883
58,sequential,215.555558153136
59,coordinated,221.409754625723
60,sequential,246.917284348606
61,sequential,226.693539555786
62,sequential,248.233578860762
63,delayed_coordination,247.138661491939
64,sequential,277.637307923978
65,delayed_coordination,223.645669804946
66,sequential,220.84618760576
67,delayed_coordination,224.490964023406
68,sequential,226.468031452743
69,coordinated,217.118410626495
70,coordinated,236.396672038273
71,early_mover,258.23424160417
72,delayed_coordination,228.776007028474
73,sequential,277.757745373859
74,delayed_coordination,263.695170086214
75,coordinated,227.731326399815
76,delayed_coordination,256.152038937248
77,delayed_coordination,228.426554268707
78,sequential,275.842711344482
79,delayed_coordination,238.197194145515
80,sequential,241.005063634354
81,sequential,242.056539320277
82,delayed_coordination,211.525715543676
83,delayed_coordination,256.599061482723
84,delayed_coordination,244.671583826603
85,delayed_coordination,252.912486967137
86,delayed_coordination,276.9614371261
87,coordinated,255.059111759103
88,coordinated,274.751962049176
89,coordinated,252.253183873438
90,delayed_coordination,260.700003465808
91,coordinated,226.558393839712
92,sequential,233.384210478956
93,delayed_coordination,247.112019450636
94,delayed_coordination,248.15564927366
95,delayed_coordination,227.777560145317
96,delayed_coordination,237.920936528349
97,sequential,252.753812291653
98,coordinated,208.805598945117
99,delayed_coordination,244.426222671023
100,delayed_coordination,243.273899324916
