recovery_horizon,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
3,baseline,Baseline,0,0,0,0,0
3,early_mover,Early Mover,0.0191496013270722,-126.279706188487,-806.453564378128,162,2279
3,sequential,Sequential,-7.29134500279909,-124.564713894279,-789.803601210986,105,1718
3,coordinated,Coordinated,-11.4660879605015,-81.7383746842212,-639.911292871177,124,1423
3,delayed_coordination,Delayed Coordination,-4.72849655526095,-123.496450628803,-803.295611326596,139,2067
5,baseline,Baseline,0,0,0,0,0
5,early_mover,Early Mover,-4.68381904444018,-115.786965033559,-673.91408027436,138,1883
5,sequential,Sequential,-12.173324357172,-105.416880353617,-608.931275211133,92,1380
5,coordinated,Coordinated,-11.0220332826401,-92.756989878141,-555.44139236798,108,1393
5,delayed_coordination,Delayed Coordination,-12.0649507727594,-114.231695831749,-611.095860583264,77,1417
7,baseline,Baseline,0,0,0,0,0
7,early_mover,Early Mover,-3.9277283990949,-120.03210289719,-682.337298006063,129,1870
7,sequential,Sequential,-9.60844076266487,-104.636994528552,-630.804248173494,117,1596
7,coordinated,Coordinated,-9.66600134678798,-110.883581485287,-635.103551339757,121,1524
7,delayed_coordination,Delayed Coordination,-6.26690099466052,-122.571601157483,-741.360717943992,141,1758
