recovery_horizon,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
3,baseline,Baseline,126.973486819371,371.229838157859,2478.41657544159,111,2150,646,1504
3,early_mover,Early Mover,126.992636420698,244.950131969372,1671.96301106347,273,4429,1223,3206
3,sequential,Sequential,119.682141816572,246.66512426358,1688.61297423061,216,3868,1206,2662
3,coordinated,Coordinated,115.50739885887,289.491463473638,1838.50528257042,235,3573,1122,2451
3,delayed_coordination,Delayed Coordination,122.24499026411,247.733387529056,1675.120964115,250,4217,1261,2956
5,baseline,Baseline,127.504293027151,369.163174821464,2425.67829103309,115,2254,671,1583
5,early_mover,Early Mover,122.820473982711,253.376209787905,1751.76421075873,253,4137,1200,2937
5,sequential,Sequential,115.330968669979,263.746294467847,1816.74701582196,207,3634,1134,2500
5,coordinated,Coordinated,116.482259744511,276.406184943323,1870.23689866511,223,3647,1104,2543
5,delayed_coordination,Delayed Coordination,115.439342254392,254.931478989715,1814.58243044983,192,3671,1148,2523
7,baseline,Baseline,126.443059392307,377.037760395197,2459.81372551683,102,2204,635,1569
7,early_mover,Early Mover,122.515330993212,257.005657498007,1777.47642751077,231,4074,1109,2965
7,sequential,Sequential,116.834618629642,272.400765866645,1829.00947734334,219,3800,1136,2664
7,coordinated,Coordinated,116.777058045519,266.15417890991,1824.71017417708,223,3728,1093,2635
7,delayed_coordination,Delayed Coordination,120.176158397647,254.466159237714,1718.45300757284,243,3962,1146,2816
